no,postal_code,urban,area_code,sub_district,dt2,city,province
1,23683,Alue Bilie,11.05.11.2010,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
2,23683,Alue Eumpeuk (Alue Empeuk),11.05.11.2009,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
3,23683,Alue Kuyun (Alue Kuyuen),11.05.11.2013,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
4,23683,Alue Meuganda,11.05.11.2019,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
5,23683,Alue Seuralen,11.05.11.2020,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
6,23683,Blang Dalam,11.05.11.2015,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
7,23683,Blang Luah Kb,11.05.11.2023,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
8,23683,Blang Makmue (Blang Makmur),11.05.11.2017,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
9,23683,Bukit Meugajah (Buket Meugajah / Bukit Megajah),11.05.11.2014,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
10,23683,Cot Punti,11.05.11.2008,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
11,23683,Gampong Baro Kb,11.05.11.2018,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
12,23683,Gampong Baro Wt,11.05.11.2006,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
13,23683,Gunong Payang (Gunong Panyang),11.05.11.2026,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
14,23683,Kubu Capang (Keubeu Capang),11.05.11.2004,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
15,23683,Lubuk Panyang (Leubok / Lubok Panyang),11.05.11.2002,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
16,23683,Pasi Ara Wt,11.05.11.2005,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
17,23683,Pasi Janeng,11.05.11.2011,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
18,23683,Paya Baro,11.05.11.2003,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
19,23683,Paya Meugendrang,11.05.11.2025,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
20,23683,Rambong,11.05.11.2007,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
21,23683,Rambong Pinto,11.05.11.2021,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
22,23683,Seuneubok Dalam,11.05.11.2024,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
23,23683,Seuradek (Seuradeuk),11.05.11.2001,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
24,23683,Tangkeh,11.05.11.2012,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
25,23683,Teumiket Ranom,11.05.11.2016,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
26,23683,Tuwi Eumpeuk (Tuwi Empeuk),11.05.11.2022,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
27,23682,Alue Keumuning (Alue Keumuneng),11.05.10.2023,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
28,23682,Alue Leuhop (Alue Leuhob),11.05.10.2008,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
29,23682,Alue Permen (Alue Perman),11.05.10.2014,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
30,23682,Blang Cot Mameh,11.05.10.2006,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
31,23682,Blang Cot Rubek,11.05.10.2007,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
32,23682,Blang Luah LM (Blang Luah),11.05.10.2001,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
33,23682,Cot Lagan Lm,11.05.10.2011,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
34,23682,Cot Rambong,11.05.10.2002,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
35,23682,Ie Sayang,11.05.10.2020,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
36,23682,Karak,11.05.10.2019,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
37,23682,Kulam Kaju,11.05.10.2013,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
38,23682,Lhok Malee,11.05.10.2003,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
39,23682,Lubuk Pasi Ara (Leubok Pasi Ara),11.05.10.2009,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
40,23682,Lueng Baro,11.05.10.2012,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
41,23682,Mon Pasong,11.05.10.2017,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
42,23682,Napai,11.05.10.2005,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
43,23682,Pasi Jeut,11.05.10.2016,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
44,23682,Pasi Malee,11.05.10.2004,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
45,23682,Pasi Mali,11.05.10.2018,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
46,23682,Pasi Panyang,11.05.10.2022,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
47,23682,Peuleukueng (Peuluekung),11.05.10.2015,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
48,23682,Simpang Keumaron (Simpang Teumarom),11.05.10.2024,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
49,23682,Ule Pulo (Ulee Pulo),11.05.10.2021,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
50,23682,Ulei Pasi Ara (Ulee Pasi Ara),11.05.10.2010,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
51,23654,Alue Blang,11.05.04.2020,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
52,23654,Alue Panyang,11.05.04.2029,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
53,23654,Alue Sikaya,11.05.04.2024,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
54,23654,Alue Sundak,11.05.04.2036,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
55,23654,Aron Baroh,11.05.04.2005,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
56,23654,Aron Tunong,11.05.04.2004,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
57,23654,Bakat,11.05.04.2042,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
58,23654,Blang Mee,11.05.04.2019,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
59,23654,Cot Keumudai (Cot Keumudee),11.05.04.2030,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
60,23654,Cot Lagan Bubon (Cot Lagan BB / Cm),11.05.04.2041,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
61,23654,Cot Murong,11.05.04.2038,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
62,23654,Cot Situah,11.05.04.2032,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
63,23654,Darul Huda,11.05.04.2025,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
64,23654,Drien Mangko (Drin Mangko),11.05.04.2016,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
65,23654,Gempa Raya,11.05.04.2008,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
66,23654,Glee Siblah,11.05.04.2039,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
67,23654,Gunong/Gunung Rambong,11.05.04.2015,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
68,23654,Gunung Hampa,11.05.04.2017,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
69,23654,Ie Itam Baroh,11.05.04.2011,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
70,23654,Ie Itam Tunong,11.05.04.2010,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
71,23654,Jawa,11.05.04.2027,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
72,23654,Jawi,11.05.04.2033,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
73,23654,Keuleumbah,11.05.04.2026,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
74,23654,Kuala Bhee,11.05.04.2001,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
75,23654,Lueng Buloh,11.05.04.2043,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
76,23654,Lueng Tanoh Tho,11.05.04.2014,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
77,23654,Lueng Teungku Yah (Lhung Tgk Yah),11.05.04.2013,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
78,23654,Lung Jawa (Lueng Jawa),11.05.04.2018,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
79,23654,Padang Jawa,11.05.04.2009,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
80,23654,Panton,11.05.04.2034,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
81,23654,Pasi Aceh,11.05.04.2003,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
82,23654,Pasi Ara Kuala Batee (Pasi Ara Kb),11.05.04.2023,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
83,23654,Pasi Birah,11.05.04.2035,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
84,23654,Pasi Lunak,11.05.04.2002,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
85,23654,Pasi Pandan,11.05.04.2006,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
86,23654,Paya Dua,11.05.04.2021,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
87,23654,Paya Luah,11.05.04.2022,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
88,23654,Pulo Ie,11.05.04.2028,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
89,23654,Ranto Panyang,11.05.04.2007,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
90,23654,Seumantok,11.05.04.2031,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
91,23654,Suak Trieng (Suak Tring),11.05.04.2040,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
92,23654,Teumarom,11.05.04.2037,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
93,23654,Tingkeum Panyang,11.05.04.2012,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
94,24580,Bener Ayu,11.17.06.2019,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
95,24580,Bener Mulie,11.17.06.2020,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
96,24580,Blang Benara (Blang Menara),11.17.06.2015,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
97,24580,Blang Kucak,11.17.06.2021,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
98,24580,Blang Paku,11.17.06.2001,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
99,24580,Bukit Pepanyi,11.17.06.2016,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
100,24580,Burni Telong,11.17.06.2028,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
101,24580,Cinta Damai,11.17.06.2018,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
102,24580,Gegerung,11.17.06.2013,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
103,24580,Jamur Ujung,11.17.06.2026,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
104,24580,Jamur Uluh,11.17.06.2012,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
105,24580,Kebun Baru,11.17.06.2024,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
106,24580,Lut Kucak,11.17.06.2023,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
107,24580,Merie Satu,11.17.06.2014,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
108,24580,Pante Raya,11.17.06.2004,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
109,24580,Simpang Antara,11.17.06.2025,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
110,24580,Simpang Balek (Simpang Bolek),11.17.06.2005,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
111,24580,Simpang Teritit (Simpang Teririt),11.17.06.2006,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
112,24580,Suka Jadi,11.17.06.2007,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
113,24580,Suka Makmur,11.17.06.2008,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
114,24580,Suka Makmur Timur,11.17.06.2027,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
115,24580,Suka Ramai Atas (Suka Rami Atas),11.17.06.2009,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
116,24580,Suka Ramai Bawah (Suka Rami Bawah),11.17.06.2010,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
117,24580,Syura Jadi,11.17.06.2011,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
118,24580,Wih Pesam,11.17.06.2017,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
119,24580,Wonosobo,11.17.06.2022,Wih Pesam,Kabupaten,Bener Meriah,Aceh (NAD)
120,24187,Alue Keumiki,11.18.02.2029,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
121,24187,Balee Ulim (Bale Ulim),11.18.02.2013,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
122,24187,Bidok,11.18.02.2020,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
123,24187,Blang Cari,11.18.02.2030,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
124,24187,Blang Rheue,11.18.02.2026,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
125,24187,Cot Seutui (Cot Seutuy),11.18.02.2027,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
126,24187,Dayah Baroh,11.18.02.2001,Ulim,Kabupaten,Pidie Jaya,Aceh (NAD)
