no,postal_code,urban,area_code,sub_district,dt2,city,province
1,42352,Banjarsari,36.02.15.2006,Warunggunung,Kabupaten,Lebak,Banten
2,42352,Baros,36.02.15.2005,Warunggunung,Kabupaten,Lebak,Banten
3,42352,Cempaka,36.02.15.2011,Warunggunung,Kabupaten,Lebak,Banten
4,42352,Cibuah,36.02.15.2003,Warunggunung,Kabupaten,Lebak,Banten
5,42352,Jagabaya,36.02.15.2009,Warunggunung,Kabupaten,Lebak,Banten
6,42352,Padasuka,36.02.15.2007,Warunggunung,Kabupaten,Lebak,Banten
7,42352,Pasir Tangkil (Pasirtangkil),36.02.15.2004,Warunggunung,Kabupaten,Lebak,Banten
8,42352,Selaraja,36.02.15.2010,Warunggunung,Kabupaten,Lebak,Banten
9,42352,Sindangsari,36.02.15.2012,Warunggunung,Kabupaten,Lebak,Banten
10,42352,Sukaraja,36.02.15.2008,Warunggunung,Kabupaten,Lebak,Banten
11,42352,Sukarendah,36.02.15.2001,Warunggunung,Kabupaten,Lebak,Banten
12,42352,Warunggunung,36.02.15.2002,Warunggunung,Kabupaten,Lebak,Banten
13,42453,Binangun,36.04.06.2003,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
14,42453,Cokopsulanjana,36.04.06.2010,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
15,42453,Kemuning,36.04.06.2011,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
16,42453,Melati,36.04.06.2004,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
17,42453,Sambilawang,36.04.06.2008,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
18,42453,Sampir,36.04.06.2009,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
19,42453,Sasahan,36.04.06.2005,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
20,42453,Suka Dalem (Sukadalem),36.04.06.2006,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
21,42453,Sukabares,36.04.06.2007,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
22,42453,Talaga Luhur (Telaga Luhur),36.04.06.2002,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
23,42453,Waringinkurung,36.04.06.2001,Waringinkurung (Waringin Kurung),Kabupaten,Serang,Banten
24,42396,Bejod,36.02.21.2002,Wanasalam,Kabupaten,Lebak,Banten
25,42396,Cikeusik,36.02.21.2007,Wanasalam,Kabupaten,Lebak,Banten
26,42396,Cilangkap,36.02.21.2003,Wanasalam,Kabupaten,Lebak,Banten
27,42396,Cipedang,36.02.21.2011,Wanasalam,Kabupaten,Lebak,Banten
28,42396,Cipeucang,36.02.21.2004,Wanasalam,Kabupaten,Lebak,Banten
29,42396,Cisarap,36.02.21.2009,Wanasalam,Kabupaten,Lebak,Banten
30,42396,Karangpamindangan,36.02.21.2013,Wanasalam,Kabupaten,Lebak,Banten
31,42396,Katapang (Ketapang),36.02.21.2008,Wanasalam,Kabupaten,Lebak,Banten
32,42396,Muara,36.02.21.2005,Wanasalam,Kabupaten,Lebak,Banten
33,42396,Parungpanjang,36.02.21.2006,Wanasalam,Kabupaten,Lebak,Banten
34,42396,Parungsari,36.02.21.2012,Wanasalam,Kabupaten,Lebak,Banten
35,42396,Sukatani,36.02.21.2010,Wanasalam,Kabupaten,Lebak,Banten
36,42396,Wanasalam,36.02.21.2001,Wanasalam,Kabupaten,Lebak,Banten
37,42183,Cigoong,36.73.03.1002,Walantaka,Kota,Serang,Banten
38,42183,Kalodran (Kalodoran),36.73.03.1008,Walantaka,Kota,Serang,Banten
39,42183,Kapuren (Kepuren),36.73.03.1009,Walantaka,Kota,Serang,Banten
40,42183,Kiara,36.73.03.1006,Walantaka,Kota,Serang,Banten
41,42183,Lebakwangi,36.73.03.1016,Walantaka,Kota,Serang,Banten
42,42183,Nyapah,36.73.03.1003,Walantaka,Kota,Serang,Banten
43,42183,Pabuaran,36.73.03.1011,Walantaka,Kota,Serang,Banten
44,42183,Pager Agung (Pageragung),36.73.03.1007,Walantaka,Kota,Serang,Banten
45,42183,Pangampelan (Pengampelan),36.73.03.1004,Walantaka,Kota,Serang,Banten
46,42183,Pasuluhan,36.73.03.1012,Walantaka,Kota,Serang,Banten
47,42183,Pipitan,36.73.03.1014,Walantaka,Kota,Serang,Banten
48,42183,Tegalsari,36.73.03.1013,Walantaka,Kota,Serang,Banten
49,42183,Teritih,36.73.03.1010,Walantaka,Kota,Serang,Banten
50,42183,Walantaka,36.73.03.1001,Walantaka,Kota,Serang,Banten
