no,postal_code,urban,area_code,sub_district,dt2,city,province
1,38755,Dusun Baru Pelokan,17.06.11.2006,XIV Koto,Kabupaten,Muko Muko,Bengkulu
2,38755,Lubuk Sanai,17.06.11.2001,XIV Koto,Kabupaten,Muko Muko,Bengkulu
3,38755,Lubuk Sanai II,17.06.11.2007,XIV Koto,Kabupaten,Muko Muko,Bengkulu
4,38755,Lubuk Sanai III,17.06.11.2009,XIV Koto,Kabupaten,Muko Muko,Bengkulu
5,38755,Pauh Tarenja (Pauh Terenjah),17.06.11.2005,XIV Koto,Kabupaten,Muko Muko,Bengkulu
6,38755,Rawa Bangun,17.06.11.2003,XIV Koto,Kabupaten,Muko Muko,Bengkulu
7,38755,Rawa Mulya,17.06.11.2002,XIV Koto,Kabupaten,Muko Muko,Bengkulu
8,38755,Tanjung Mulya,17.06.11.2004,XIV Koto,Kabupaten,Muko Muko,Bengkulu
9,38757,Lalang Luas,17.06.12.2001,V Koto,Kabupaten,Muko Muko,Bengkulu
10,38757,Lubuk Cabau,17.06.12.2009,V Koto,Kabupaten,Muko Muko,Bengkulu
11,38757,Pondok Panjang,17.06.12.2003,V Koto,Kabupaten,Muko Muko,Bengkulu
12,38757,Pondok Tengah,17.06.12.2006,V Koto,Kabupaten,Muko Muko,Bengkulu
13,38757,Resno (Rasno),17.06.12.2002,V Koto,Kabupaten,Muko Muko,Bengkulu
14,38757,Sungai Lintang,17.06.12.2005,V Koto,Kabupaten,Muko Muko,Bengkulu
15,38757,Sungai Rengas,17.06.12.2010,V Koto,Kabupaten,Muko Muko,Bengkulu
16,38757,Talang Petai,17.06.12.2004,V Koto,Kabupaten,Muko Muko,Bengkulu
17,38757,Talang Sakti,17.06.12.2007,V Koto,Kabupaten,Muko Muko,Bengkulu
18,38757,Talang Sepakat,17.06.12.2008,V Koto,Kabupaten,Muko Muko,Bengkulu
19,39268,Embong,17.07.11.2001,Uram Jaya,Kabupaten,Lebong,Bengkulu
20,39268,Embong I,17.07.11.2002,Uram Jaya,Kabupaten,Lebong,Bengkulu
21,39268,Kota Agung,17.07.11.2004,Uram Jaya,Kabupaten,Lebong,Bengkulu
22,39268,Kota Baru,17.07.11.2003,Uram Jaya,Kabupaten,Lebong,Bengkulu
23,39268,Lemeu / Limau,17.07.11.2005,Uram Jaya,Kabupaten,Lebong,Bengkulu
24,39268,Pangkalan,17.07.11.2006,Uram Jaya,Kabupaten,Lebong,Bengkulu
25,39268,Tangua,17.07.11.2007,Uram Jaya,Kabupaten,Lebong,Bengkulu
26,38886,Air Keruh,17.05.13.2006,Ulu Talo,Kabupaten,Seluma,Bengkulu
27,38886,Banyu Kencana,17.05.13.2010,Ulu Talo,Kabupaten,Seluma,Bengkulu
28,38886,Giri Mulya,17.05.13.2013,Ulu Talo,Kabupaten,Seluma,Bengkulu
29,38886,Giri Nanto,17.05.13.2009,Ulu Talo,Kabupaten,Seluma,Bengkulu
30,38886,Hargo Binangun,17.05.13.2007,Ulu Talo,Kabupaten,Seluma,Bengkulu
31,38886,Mekar Jaya,17.05.13.2008,Ulu Talo,Kabupaten,Seluma,Bengkulu
32,38886,Muara Nibung,17.05.13.2011,Ulu Talo,Kabupaten,Seluma,Bengkulu
33,38886,Muara Simpur,17.05.13.2002,Ulu Talo,Kabupaten,Seluma,Bengkulu
34,38886,Pagar,17.05.13.2001,Ulu Talo,Kabupaten,Seluma,Bengkulu
35,38886,Pagar Agung,17.05.13.2003,Ulu Talo,Kabupaten,Seluma,Bengkulu
36,38886,Pagar Banyu,17.05.13.2004,Ulu Talo,Kabupaten,Seluma,Bengkulu
37,38886,Sipur/Simpur Ijang,17.05.13.2005,Ulu Talo,Kabupaten,Seluma,Bengkulu
38,38886,Tanjung Agung,17.05.13.2012,Ulu Talo,Kabupaten,Seluma,Bengkulu
39,38573,Air Tenam Dalam,17.01.09.2010,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
40,38573,Bandar Agung,17.01.09.2003,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
41,38573,Batu Kuning,17.01.09.2002,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
42,38573,Batu Panco,17.01.09.2001,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
43,38573,Kayu Ajaran,17.01.09.2009,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
44,38573,Keban Jati,17.01.09.2007,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
45,38573,Lubuk Tapi,17.01.09.2008,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
46,38573,Merambung,17.01.09.2004,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
47,38573,Simpang Pino,17.01.09.2005,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
48,38573,Talang Tinggi,17.01.09.2006,Ulu Manna,Kabupaten,Bengkulu Selatan,Bengkulu
49,38364,Air Lelangi,17.03.23.2001,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
50,38364,Bangun Karya,17.03.23.2008,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
51,38364,Bukit Berlian,17.03.23.2002,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
52,38364,Bukit Sari,17.03.23.2004,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
53,38364,Pagardin (Pagar Din),17.03.23.2005,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
54,38364,Pondok Bakil,17.03.23.2009,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
55,38364,Talang Berantai,17.03.23.2010,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
56,38364,Tanjung Dalam,17.03.23.2003,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
57,38364,Tanjung Harapan,17.03.23.2006,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
58,38364,Tanjung Sari,17.03.23.2007,Ulok Kupai,Kabupaten,Bengkulu Utara,Bengkulu
59,39370,Air Hitam,17.08.02.2023,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
60,39370,Bumi Sari,17.08.02.2009,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
61,39370,Cugung Lalang,17.08.02.2016,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
62,39370,Daspeta (Daspetah),17.08.02.2001,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
63,39370,Daspetah II,17.08.02.2024,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
64,39370,Meranti Jaya,17.08.02.2021,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
65,39370,Pekalongan,17.08.02.2008,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
66,39370,Pungguk Meranti,17.08.02.2019,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
67,39370,Pungguk Meringang,17.08.02.2020,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
68,39370,Suro Bali,17.08.02.2018,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
69,39370,Suro Baru,17.08.02.2007,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
70,39370,Suro Ilir,17.08.02.2005,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
71,39370,Suro Lembak,17.08.02.2003,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
72,39370,Suro Muncar,17.08.02.2006,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
73,39370,Tanjung Alam,17.08.02.2004,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
74,39370,Ujan Mas Atas,17.08.02.1002,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
75,39370,Ujan Mas Bawah,17.08.02.2017,Ujan Mas,Kabupaten,Kepahiang,Bengkulu
76,39266,Gunung Alam,17.07.09.2004,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
77,39266,Kota Baru Santan,17.07.09.2006,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
78,39266,Pelabai,17.07.09.2008,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
79,39266,Sukau Datang,17.07.09.2002,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
80,39266,Sukau Datang I,17.07.09.2003,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
81,39266,Tabeak Blau II,17.07.09.2005,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
82,39266,Tanjung Agung,17.07.09.1001,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
83,39266,Tik Teleu,17.07.09.2007,Tubei (Pelabai),Kabupaten,Lebong,Bengkulu
84,39260,Ajai Siang,17.07.06.2004,Topos,Kabupaten,Lebong,Bengkulu
85,39260,Suka Negeri,17.07.06.2003,Topos,Kabupaten,Lebong,Bengkulu
86,39260,Talang Baru I,17.07.06.2007,Topos,Kabupaten,Lebong,Bengkulu
87,39260,Talang Baru II,17.07.06.2008,Topos,Kabupaten,Lebong,Bengkulu
88,39260,Talang Donok,17.07.06.2005,Topos,Kabupaten,Lebong,Bengkulu
89,39260,Talang Donok I,17.07.06.2006,Topos,Kabupaten,Lebong,Bengkulu
90,39260,Tik Sirong,17.07.06.2002,Topos,Kabupaten,Lebong,Bengkulu
91,39260,Topos,17.07.06.1001,Topos,Kabupaten,Lebong,Bengkulu
92,38968,Babat,17.04.12.2006,Tetap (Muara Tetap),Kabupaten,Kaur,Bengkulu
93,38968,Cucupan,17.04.12.2003,Tetap (Muara Tetap),Kabupaten,Kaur,Bengkulu
94,38968,Kasuk Baru,17.04.12.2010,Tetap (Muara Tetap),Kabupaten,Kaur,Bengkulu
95,38968,Kepahyang,17.04.12.2007,Tetap (Muara Tetap),Kabupaten,Kaur,Bengkulu
96,38968,Muara Tetap,17.04.12.2009,Tetap (Muara Tetap),Kabupaten,Kaur,Bengkulu
97,38968,Padang Binjai,17.04.12.2011,Tetap (Muara Tetap),Kabupaten,Kaur,Bengkulu
