no,postal_code,urban,area_code,sub_district,dt2,city,province
1,55811,Baleharjo,34.03.01.2007,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
2,55851,Duwet,34.03.01.2011,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
3,55851,Gari,34.03.01.2004,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
4,55851,Karangrejek (Karang Rejek),34.03.01.2014,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
5,55851,Karangtengah (Karang Tengah),34.03.01.2005,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
6,55813,Kepek,34.03.01.2002,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
7,55851,Mulo,34.03.01.2012,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
8,55851,Piyaman,34.03.01.2003,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
9,55851,Pulutan,34.03.01.2009,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
10,55851,Selang,34.03.01.2006,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
11,55851,Siraman,34.03.01.2008,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
12,55851,Wareng,34.03.01.2010,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
13,55851,Wonosari,34.03.01.2001,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
14,55851,Wunung,34.03.01.2013,Wonosari,Kabupaten,Gunungkidul,DI Yogyakarta
15,55253,Pakuncen,34.71.07.1001,Wirobrajan,Kota,Yogyakarta,DI Yogyakarta
16,55251,Patangpuluhan,34.71.07.1003,Wirobrajan,Kota,Yogyakarta,DI Yogyakarta
17,55252,Wirobrajan,34.71.07.1002,Wirobrajan,Kota,Yogyakarta,DI Yogyakarta
18,55651,Bendungan,34.01.02.2005,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
19,55651,Giripeni (Giri Peni),34.01.02.2007,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
20,55651,Karangwuni (Karang Wuni),34.01.02.2001,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
21,55651,Kulwaru,34.01.02.2003,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
22,55651,Ngestiharjo,34.01.02.2004,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
23,55651,Sogan,34.01.02.2002,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
24,55651,Triharjo,34.01.02.2006,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
25,55651,Wates,34.01.02.1008,Wates,Kabupaten,Kulon Progo,DI Yogyakarta
26,55163,Giwangan,34.71.13.1007,Umbulharjo,Kota,Yogyakarta,DI Yogyakarta
27,55165,Muja Muju,34.71.13.1002,Umbulharjo,Kota,Yogyakarta,DI Yogyakarta
28,55161,Pandeyan,34.71.13.1005,Umbulharjo,Kota,Yogyakarta,DI Yogyakarta
29,55166,Semaki,34.71.13.1001,Umbulharjo,Kota,Yogyakarta,DI Yogyakarta
30,55162,Sorosutan,34.71.13.1006,Umbulharjo,Kota,Yogyakarta,DI Yogyakarta
