no,postal_code,urban,area_code,sub_district,dt2,city,province
1,12840,Bukit Duri,31.74.01.1005,Tebet,Kota,Jakarta Selatan,DKI Jakarta
2,12830,Kebon Baru,31.74.01.1004,Tebet,Kota,Jakarta Selatan,DKI Jakarta
3,12850,Manggarai,31.74.01.1007,Tebet,Kota,Jakarta Selatan,DKI Jakarta
4,12860,Manggarai Selatan,31.74.01.1006,Tebet,Kota,Jakarta Selatan,DKI Jakarta
5,12870,Menteng Dalam,31.74.01.1003,Tebet,Kota,Jakarta Selatan,DKI Jakarta
6,12810,Tebet Barat,31.74.01.1002,Tebet,Kota,Jakarta Selatan,DKI Jakarta
7,12820,Tebet Timur,31.74.01.1001,Tebet,Kota,Jakarta Selatan,DKI Jakarta
8,14320,Kebon Bawang,31.72.02.1005,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
9,14340,Papanggo,31.72.02.1003,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
10,14330,Sungai Bambu,31.72.02.1004,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
11,14350,Sunter Agung,31.72.02.1006,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
12,14360,Sunter Jaya,31.72.02.1002,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
13,14310,Tanjung Priok,31.72.02.1001,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
14,14370,Warakas,31.72.02.1007,Tanjung Priok,Kota,Jakarta Utara,DKI Jakarta
15,10210,Bendungan Hilir,31.71.07.1002,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
16,10270,Gelora,31.71.07.1001,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
17,10250,Kampung Bali,31.71.07.1007,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
18,10220,Karet Tengsin,31.71.07.1003,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
19,10240,Kebon Kacang,31.71.07.1006,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
20,10230,Kebon Melati,31.71.07.1005,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
21,10260,Petamburan,31.71.07.1004,Tanah Abang,Kota,Jakarta Pusat,DKI Jakarta
22,11330,Angke,31.73.04.1007,Tambora,Kota,Jakarta Barat,DKI Jakarta
23,11270,Duri Selatan,31.73.04.1011,Tambora,Kota,Jakarta Barat,DKI Jakarta
24,11270,Duri Utara,31.73.04.1003,Tambora,Kota,Jakarta Barat,DKI Jakarta
25,11320,Jembatan Besi,31.73.04.1006,Tambora,Kota,Jakarta Barat,DKI Jakarta
26,11250,Jembatan Lima,31.73.04.1008,Tambora,Kota,Jakarta Barat,DKI Jakarta
27,11310,Kali Anyar,31.73.04.1002,Tambora,Kota,Jakarta Barat,DKI Jakarta
28,11260,Krendang,31.73.04.1005,Tambora,Kota,Jakarta Barat,DKI Jakarta
29,11240,Pekojan,31.73.04.1009,Tambora,Kota,Jakarta Barat,DKI Jakarta
30,11230,Roa Malaka,31.73.04.1010,Tambora,Kota,Jakarta Barat,DKI Jakarta
31,11220,Tambora,31.73.04.1001,Tambora,Kota,Jakarta Barat,DKI Jakarta
32,11210,Tanah Sereal,31.73.04.1004,Tambora,Kota,Jakarta Barat,DKI Jakarta
33,11120,Glodok,31.73.03.1007,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
34,11130,Keagungan,31.73.03.1006,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
35,11140,Krukut,31.73.03.1002,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
36,11180,Mangga Besar,31.73.03.1005,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
37,11160,Maphar,31.73.03.1003,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
38,11110,Pinangsia,31.73.03.1008,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
39,11150,Taman Sari,31.73.03.1001,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
40,11170,Tangki,31.73.03.1004,Taman Sari,Kota,Jakarta Barat,DKI Jakarta
41,12980,Guntur,31.74.02.1007,Setiabudi (Setia Budi),Kota,Jakarta Selatan,DKI Jakarta
42,12920,Karet,31.74.02.1004,Setiabudi (Setia Budi),Kota,Jakarta Selatan,DKI Jakarta
43,12940,Karet Kuningan,31.74.02.1003,Setiabudi (Setia Budi),Kota,Jakarta Selatan,DKI Jakarta
44,12930,Karet Semanggi,31.74.02.1002,Setiabudi (Setia Budi),Kota,Jakarta Selatan,DKI Jakarta
45,12950,Kuningan Timur,31.74.02.1008,Setiabudi (Setia Budi),Kota,Jakarta Selatan,DKI Jakarta
46,12960,Menteng Atas,31.74.02.1005,Setiabudi (Setia Budi),Kota,Jakarta Selatan,DKI Jakarta
