no,postal_code,urban,area_code,sub_district,dt2,city,province
1,96262,Bongo II (Bongo Dua),75.02.02.2002,Wonosari,Kabupaten,Boalemo,Gorontalo
2,96262,Bongo III (Bongo Tiga),75.02.02.2003,Wonosari,Kabupaten,Boalemo,Gorontalo
3,96262,Dimito,75.02.02.2010,Wonosari,Kabupaten,Boalemo,Gorontalo
4,96262,Dulohupa,75.02.02.2014,Wonosari,Kabupaten,Boalemo,Gorontalo
5,96262,Harapan,75.02.02.2001,Wonosari,Kabupaten,Boalemo,Gorontalo
6,96262,Jatimulya,75.02.02.2007,Wonosari,Kabupaten,Boalemo,Gorontalo
7,96262,Mekarjaya (Mekar Jaya),75.02.02.2004,Wonosari,Kabupaten,Boalemo,Gorontalo
8,96262,Pangeya,75.02.02.2006,Wonosari,Kabupaten,Boalemo,Gorontalo
9,96262,Raharja,75.02.02.2012,Wonosari,Kabupaten,Boalemo,Gorontalo
10,96262,Sari Tani,75.02.02.2009,Wonosari,Kabupaten,Boalemo,Gorontalo
11,96262,Suka Mulya (Sukamulya),75.02.02.2008,Wonosari,Kabupaten,Boalemo,Gorontalo
12,96262,Sukamaju,75.02.02.2005,Wonosari,Kabupaten,Boalemo,Gorontalo
13,96262,Tanjung Harapan,75.02.02.2011,Wonosari,Kabupaten,Boalemo,Gorontalo
14,96262,Trirukun (Tri Rukun),75.02.02.2013,Wonosari,Kabupaten,Boalemo,Gorontalo
15,96465,Bohusami,75.04.11.2003,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
16,96465,Bukit Harapan,75.04.11.2002,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
17,96465,Lembah Permai (Lembah Malango II),75.04.11.2004,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
18,96469,Limbula,75.04.11.2005,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
19,96469,Tuweya,75.04.11.2007,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
20,96465,Wanggarasi (Wonggarasi Timur),75.04.11.2001,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
21,96469,Yipilo,75.04.11.2006,Wanggarasi,Kabupaten,Pahuwato,Gorontalo
22,96512,Bubode,75.05.07.2004,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
23,96512,Bulango Raya,75.05.07.2008,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
24,96512,Dambalo,75.05.07.2001,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
25,96512,Huidu Melito,75.05.07.2007,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
26,96512,Jembatan Merah,75.05.07.2003,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
27,96512,Leyao,75.05.07.2005,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
28,96512,Milango,75.05.07.2002,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
29,96512,Molantadu,75.05.07.2006,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
30,96512,Mutiara Laut,75.05.07.2010,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
31,96512,Tanjung Karang,75.05.07.2009,Tomilito (Tomolito),Kabupaten,Gorontalo Utara,Gorontalo
32,96524,Cempaka Putih,75.05.05.2011,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
33,96524,Ilomangga,75.05.05.2017,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
34,96524,Ilotunggulo,75.05.05.2018,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
35,96524,Limbato,75.05.05.2006,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
36,96524,Molangga,75.05.05.2008,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
37,96524,Papulangi (Papualangi),75.05.05.2007,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
38,96524,Tolinggula Pantai,75.05.05.2002,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
39,96524,Tolinggula Tengah,75.05.05.2001,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
40,96524,Tolinggula Ulu,75.05.05.2003,Tolinggula,Kabupaten,Gorontalo Utara,Gorontalo
