no,postal_code,urban,area_code,sub_district,dt2,city,province
1,37562,Balai Rajo,15.09.11.2002,VII Koto Ilir,Kabupaten,Tebo,Jambi
2,37562,Cermin Alam,15.09.11.2003,VII Koto Ilir,Kabupaten,Tebo,Jambi
3,37562,Paseban,15.09.11.2005,VII Koto Ilir,Kabupaten,Tebo,Jambi
4,37562,Pasir Mayang,15.09.11.2006,VII Koto Ilir,Kabupaten,Tebo,Jambi
5,37562,Sungai Karang,15.09.11.2004,VII Koto Ilir,Kabupaten,Tebo,Jambi
6,37562,Teluk Kepayang Pulau Indah,15.09.11.2001,VII Koto Ilir,Kabupaten,Tebo,Jambi
7,37561,Aur Cino,15.09.06.2005,VII Koto,Kabupaten,Tebo,Jambi
8,37561,Dusun Baru,15.09.06.2014,VII Koto,Kabupaten,Tebo,Jambi
9,37561,Kuamang,15.09.06.2002,VII Koto,Kabupaten,Tebo,Jambi
10,37561,Muara Niro,15.09.06.2007,VII Koto,Kabupaten,Tebo,Jambi
11,37561,Muara Tabun,15.09.06.2016,VII Koto,Kabupaten,Tebo,Jambi
12,37561,Sungai Abang,15.09.06.2004,VII Koto,Kabupaten,Tebo,Jambi
13,37561,Tabun,15.09.06.2015,VII Koto,Kabupaten,Tebo,Jambi
14,37561,Tanjung Pucuk Jambi (Pucuk Jambi),15.09.06.2001,VII Koto,Kabupaten,Tebo,Jambi
15,37561,Teluk Kayu Putih,15.09.06.2003,VII Koto,Kabupaten,Tebo,Jambi
16,37561,Teluk Lancang,15.09.06.2013,VII Koto,Kabupaten,Tebo,Jambi
17,36552,Badang,15.06.01.2001,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
18,36552,Badang Sepakat,15.06.01.2021,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
19,36552,Brasau,15.06.01.2017,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
20,36552,Gemuruh,15.06.01.2019,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
21,36552,Kuala Dasal,15.06.01.2003,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
22,36552,Pelabuhan Dagang,15.06.01.1005,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
23,36552,Pematang Pauh,15.06.01.2004,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
24,36552,Pematang Tembesu,15.06.01.2020,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
25,36552,Taman Raja,15.06.01.2006,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
26,36552,Tanjungtayas (Tanjung Tayas),15.06.01.2002,Tungkal Ulu,Kabupaten,Tanjung Jabung Barat,Jambi
27,36557,Kampung Nelayan,15.06.02.1015,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
28,36557,Patunas,15.06.02.1016,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
29,36557,Sriwijaya,15.06.02.1017,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
30,36557,Sungainibung,15.06.02.1018,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
31,36557,Teluksialang (Teluk Sialang),15.06.02.2014,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
32,36557,Tungkal Empat Kota,15.06.02.1004,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
33,36557,Tungkal Harapan,15.06.02.1006,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
34,36557,Tungkal I,15.06.02.2003,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
35,36557,Tungkal II,15.06.02.1007,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
36,36557,Tungkal III,15.06.02.1005,Tungkal Ilir,Kabupaten,Tanjung Jabung Barat,Jambi
37,37371,Baru Bukit Punjung,15.02.24.2004,Tiang Pumpung,Kabupaten,Merangin,Jambi
