no,postal_code,urban,area_code,sub_district,dt2,city,province
1,45271,Bangkaloa Ilir,32.12.07.2006,Widasari,Kabupaten,Indramayu,Jawa Barat
2,45271,Bunder,32.12.07.2010,Widasari,Kabupaten,Indramayu,Jawa Barat
3,45271,Kalensari,32.12.07.2008,Widasari,Kabupaten,Indramayu,Jawa Barat
4,45271,Kasmaran,32.12.07.2016,Widasari,Kabupaten,Indramayu,Jawa Barat
5,45271,Kongsijaya,32.12.07.2012,Widasari,Kabupaten,Indramayu,Jawa Barat
6,45271,Leuwigede,32.12.07.2015,Widasari,Kabupaten,Indramayu,Jawa Barat
7,45271,Ujung Pondok Jaya (Ujungpendokjaya),32.12.07.2014,Widasari,Kabupaten,Indramayu,Jawa Barat
8,45271,Ujungaris,32.12.07.2011,Widasari,Kabupaten,Indramayu,Jawa Barat
9,45271,Ujungjaya,32.12.07.2013,Widasari,Kabupaten,Indramayu,Jawa Barat
10,45271,Widasari,32.12.07.2007,Widasari,Kabupaten,Indramayu,Jawa Barat
11,45159,Karangsari,32.09.19.2001,Weru,Kabupaten,Cirebon,Jawa Barat
12,45159,Kertasari,32.09.19.2002,Weru,Kabupaten,Cirebon,Jawa Barat
13,45159,Megu Cilik (Megucilik),32.09.19.2004,Weru,Kabupaten,Cirebon,Jawa Barat
14,45159,Megu Gede (Megugede),32.09.19.2003,Weru,Kabupaten,Cirebon,Jawa Barat
15,45159,Setu Kulon,32.09.19.2006,Weru,Kabupaten,Cirebon,Jawa Barat
16,45159,Setu Wetan,32.09.19.2005,Weru,Kabupaten,Cirebon,Jawa Barat
17,45159,Tegalwangi,32.09.19.2009,Weru,Kabupaten,Cirebon,Jawa Barat
18,45159,Weru Kidul,32.09.19.2007,Weru,Kabupaten,Cirebon,Jawa Barat
19,45159,Weru Lor,32.09.19.2008,Weru,Kabupaten,Cirebon,Jawa Barat
20,43260,Bunikasih,32.03.02.2008,Warungkondang,Kabupaten,Cianjur,Jawa Barat
21,43260,Bunisari,32.03.02.2014,Warungkondang,Kabupaten,Cianjur,Jawa Barat
22,43260,Cieundeur,32.03.02.2017,Warungkondang,Kabupaten,Cianjur,Jawa Barat
23,43260,Cikaroya,32.03.02.2007,Warungkondang,Kabupaten,Cianjur,Jawa Barat
24,43260,Cisarandi,32.03.02.2006,Warungkondang,Kabupaten,Cianjur,Jawa Barat
25,43260,Ciwalen,32.03.02.2009,Warungkondang,Kabupaten,Cianjur,Jawa Barat
26,43260,Jambudipa,32.03.02.2002,Warungkondang,Kabupaten,Cianjur,Jawa Barat
27,43260,Mekarwangi,32.03.02.2018,Warungkondang,Kabupaten,Cianjur,Jawa Barat
28,43260,Sukamulya,32.03.02.2016,Warungkondang,Kabupaten,Cianjur,Jawa Barat
29,43260,Sukawangi,32.03.02.2011,Warungkondang,Kabupaten,Cianjur,Jawa Barat
30,43260,Tegallega,32.03.02.2010,Warungkondang,Kabupaten,Cianjur,Jawa Barat
31,43362,Bantarkalong,32.02.09.2004,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
32,43362,Bojongkerta,32.02.09.2002,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
33,43362,Damarraja,32.02.09.2011,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
34,43362,Girijaya,32.02.09.2003,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
35,43362,Hegarmanah,32.02.09.2005,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
36,43362,Kertamukti,32.02.09.2009,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
37,43362,Mekarjaya,32.02.09.2010,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
38,43362,Sirnajaya,32.02.09.2007,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
39,43362,Sukaharja,32.02.09.2008,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
40,43362,Tarisi,32.02.09.2012,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
41,43362,Ubrug,32.02.09.2006,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
42,43362,Warungkiara,32.02.09.2001,Warungkiara,Kabupaten,Sukabumi,Jawa Barat
43,43132,Benteng,32.72.04.1005,Warudoyong,Kota,Sukabumi,Jawa Barat
44,43134,Dayeuhluhur,32.72.04.1003,Warudoyong,Kota,Sukabumi,Jawa Barat
45,43131,Nyomplong,32.72.04.1002,Warudoyong,Kota,Sukabumi,Jawa Barat
46,43135,Sukakarya,32.72.04.1004,Warudoyong,Kota,Sukabumi,Jawa Barat
47,43133,Warudoyong,32.72.04.1001,Warudoyong,Kota,Sukabumi,Jawa Barat
48,41174,Babakan,32.14.09.2007,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
49,41174,Ciawi,32.14.09.2009,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
50,41174,Cibuntu,32.14.09.2006,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
51,41174,Legokhuni,32.14.09.2014,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
52,41174,Nagrog,32.14.09.2005,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
53,41174,Nangerang,32.14.09.2008,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
54,41174,Raharja,32.14.09.2011,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
55,41174,Sakambang,32.14.09.2012,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
56,41174,Simpang,32.14.09.2004,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
57,41174,Sukadami,32.14.09.2002,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
58,41174,Sumurugul,32.14.09.2010,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
59,41174,Taringgul Tengah,32.14.09.2015,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
60,41174,Taringgul Tonggoh,32.14.09.2013,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
61,41174,Wanasari,32.14.09.2003,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
62,41174,Wanayasa,32.14.09.2001,Wanayasa,Kabupaten,Purwakarta,Jawa Barat
63,44180,Cinunuk,32.05.03.2003,Wanaraja,Kabupaten,Garut,Jawa Barat
64,44180,Sindangmekar,32.05.03.2015,Wanaraja,Kabupaten,Garut,Jawa Barat
65,44180,Sindangprabu,32.05.03.2024,Wanaraja,Kabupaten,Garut,Jawa Barat
