no,postal_code,urban,area_code,sub_district,dt2,city,province
1,57661,Genukharjo,33.12.09.2001,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
2,57661,Gumiwang Lor (Gumiwanglor),33.12.09.2008,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
3,57661,Mlopoharjo,33.12.09.2004,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
4,57661,Mojopuro (Mojopura),33.12.09.1003,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
5,57661,Pulutan Kulon (Pulutankulon),33.12.09.2005,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
6,57661,Pulutan Wetan (Pulutanwetan),33.12.09.2006,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
7,57661,Sumberejo,33.12.09.2002,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
8,57661,Wuryantoro,33.12.09.1007,Wuryantoro,Kabupaten,Wonogiri,Jawa Tengah
9,51253,Brayo,33.25.01.2009,Wonotunggal,Kabupaten,Batang,Jawa Tengah
10,51253,Brokoh,33.25.01.2007,Wonotunggal,Kabupaten,Batang,Jawa Tengah
11,51253,Dringo,33.25.01.2014,Wonotunggal,Kabupaten,Batang,Jawa Tengah
12,51253,Gringgingsari,33.25.01.2003,Wonotunggal,Kabupaten,Batang,Jawa Tengah
13,51253,Kedungmalang,33.25.01.2004,Wonotunggal,Kabupaten,Batang,Jawa Tengah
14,51253,Kemligi,33.25.01.2010,Wonotunggal,Kabupaten,Batang,Jawa Tengah
15,51253,Kreyo,33.25.01.2012,Wonotunggal,Kabupaten,Batang,Jawa Tengah
16,51253,Penangkan,33.25.01.2015,Wonotunggal,Kabupaten,Batang,Jawa Tengah
17,51253,Sendang,33.25.01.2005,Wonotunggal,Kabupaten,Batang,Jawa Tengah
18,51253,Sigayam,33.25.01.2011,Wonotunggal,Kabupaten,Batang,Jawa Tengah
19,51253,Silurah,33.25.01.2001,Wonotunggal,Kabupaten,Batang,Jawa Tengah
20,51253,Siwatu,33.25.01.2013,Wonotunggal,Kabupaten,Batang,Jawa Tengah
21,51253,Sodong,33.25.01.2002,Wonotunggal,Kabupaten,Batang,Jawa Tengah
22,51253,Wates,33.25.01.2008,Wonotunggal,Kabupaten,Batang,Jawa Tengah
23,51253,Wonotunggal,33.25.01.2006,Wonotunggal,Kabupaten,Batang,Jawa Tengah
24,56318,Bomerto,33.07.09.2017,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
25,56317,Bumiroso (Bumireso),33.07.09.1008,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
26,56314,Jaraksari,33.07.09.1004,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
27,56319,Jlamprang,33.07.09.1015,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
28,56315,Jogoyitnan,33.07.09.2005,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
29,56319,Kalianget,33.07.09.1014,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
30,56311,Kejiwan,33.07.09.1013,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
31,56315,Kramatan,33.07.09.1006,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
32,56312,Mlipak,33.07.09.1003,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
33,56314,Pagerkukuh,33.07.09.1010,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
34,56316,Pancurwening,33.07.09.2007,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
35,56316,Rojoimo,33.07.09.1009,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
36,56312,Sambek,33.07.09.1011,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
37,56317,Sariyoso,33.07.09.2018,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
38,56313,Tawangsari,33.07.09.1002,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
39,56317,Tlogojati,33.07.09.2019,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
40,56313,Wonolelo,33.07.09.2001,Wonosobo,Kabupaten,Wonosobo,Jawa Tengah
