no,postal_code,urban,area_code,sub_district,dt2,city,province
1,70560,Babat Raya,63.04.16.2007,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
2,70560,Dwipasari (Dwi Pasari),63.04.16.2013,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
3,70560,Kolam Kanan,63.04.16.2008,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
4,70560,Kolam Kiri,63.04.16.2001,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
5,70560,Kolam Makmur,63.04.16.2010,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
6,70560,Pinang Habang,63.04.16.2005,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
7,70560,Roham Raya,63.04.16.2002,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
8,70560,Sidomulyo (Sido Mulyo),63.04.16.2009,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
9,70560,Simpang Jaya,63.04.16.2003,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
10,70560,Sumber Rahayu,63.04.16.2012,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
11,70560,Surya Kanta,63.04.16.2011,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
12,70560,Tumih,63.04.16.2004,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
13,70560,Waringin Kencana,63.04.16.2006,Wanaraya,Kabupaten,Barito Kuala,Kalimantan Selatan
14,71575,Bilas,63.09.10.2001,Upau,Kabupaten,Tabalong,Kalimantan Selatan
15,71575,Kaong,63.09.10.2002,Upau,Kabupaten,Tabalong,Kalimantan Selatan
16,71575,Kinarum,63.09.10.2004,Upau,Kabupaten,Tabalong,Kalimantan Selatan
17,71575,Masingai I,63.09.10.2006,Upau,Kabupaten,Tabalong,Kalimantan Selatan
18,71575,Masingai II,63.09.10.2005,Upau,Kabupaten,Tabalong,Kalimantan Selatan
19,71575,Pangelak,63.09.10.2003,Upau,Kabupaten,Tabalong,Kalimantan Selatan
20,72270,Batu Bulan,63.10.12.2008,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
21,72270,Dadap Kusan Raya,63.10.12.2010,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
22,72270,Darasan Binjai,63.10.12.2005,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
23,72270,Guntung,63.10.12.2002,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
24,72270,Hati'if (Hati If),63.10.12.2007,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
25,72270,Mangkalapi,63.10.12.2003,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
26,72270,Tamunih,63.10.12.2009,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
27,72270,Tapus,63.10.12.2006,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
28,72270,Teluk Kepayang,63.10.12.2001,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
29,72270,Tibarau Panjang (Timbarau Panjang),63.10.12.2004,Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan
30,71292,Ambutun,63.06.03.2004,Telaga Langsat,Kabupaten,Hulu Sungai Selatan,Kalimantan Selatan
31,71292,Gumbil,63.06.03.2009,Telaga Langsat,Kabupaten,Hulu Sungai Selatan,Kalimantan Selatan
