no,postal_code,urban,area_code,sub_district,dt2,city,province
1,77485,Balatikon (Blatikon / Belatikan),65.03.14.2012,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
2,77485,Kalunsayan (Kulunsayan / Kalun Sayan),65.03.14.2005,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
3,77485,Makmur,65.03.14.2002,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
4,77485,Naputi,65.03.14.2010,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
5,77485,Salang,65.03.14.2007,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
6,77485,Sanur,65.03.14.2001,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
7,77485,Sekikilan,65.03.14.2004,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
8,77485,Semunad,65.03.14.2003,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
9,77485,Tau Baru,65.03.14.2011,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
10,77485,Tembalang,65.03.14.2006,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
11,77485,Tinampak I,65.03.14.2008,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
12,77485,Tinampak II,65.03.14.2009,Tulin Onsoi,Kabupaten,Nunukan,Kalimantan Utara
13,77116,Juata Krikil/Kerikil,65.71.04.1003,Tarakan Utara,Kota,Tarakan,Kalimantan Utara
14,77116,Juata Laut,65.71.04.1001,Tarakan Utara,Kota,Tarakan,Kalimantan Utara
15,77116,Juata Permai,65.71.04.1002,Tarakan Utara,Kota,Tarakan,Kalimantan Utara
16,77115,Gunung Lingkas,65.71.03.1002,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
17,77124,Kampung Empat,65.71.03.1003,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
18,77123,Kampung Enam,65.71.03.1004,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
19,77126,Lingkas Ujung,65.71.03.1001,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
20,77125,Mamburungan,65.71.03.1005,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
21,77115,Mamburungan Timur,65.71.03.1007,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
22,77115,Pantai Amal,65.71.03.1006,Tarakan Timur,Kota,Tarakan,Kalimantan Utara
23,77113,Kampung I Skip (Kampung Satu / Skip),65.71.02.1001,Tarakan Tengah,Kota,Tarakan,Kalimantan Utara
24,77113,Pamusian,65.71.02.1002,Tarakan Tengah,Kota,Tarakan,Kalimantan Utara
25,77114,Sebengkok,65.71.02.1003,Tarakan Tengah,Kota,Tarakan,Kalimantan Utara
26,77113,Selumit,65.71.02.1004,Tarakan Tengah,Kota,Tarakan,Kalimantan Utara
27,77113,Selumit Pantai,65.71.02.1005,Tarakan Tengah,Kota,Tarakan,Kalimantan Utara
28,77111,Karang Anyar,65.71.01.1001,Tarakan Barat,Kota,Tarakan,Kalimantan Utara
29,77111,Karang Anyar Pantai,65.71.01.1003,Tarakan Barat,Kota,Tarakan,Kalimantan Utara
30,77112,Karang Balik,65.71.01.1004,Tarakan Barat,Kota,Tarakan,Kalimantan Utara
31,77111,Karang Harapan,65.71.01.1005,Tarakan Barat,Kota,Tarakan,Kalimantan Utara
32,77112,Karang Rejo,65.71.01.1002,Tarakan Barat,Kota,Tarakan,Kalimantan Utara
33,77212,Apung,65.01.05.2007,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
34,77212,Bumi Rahayu,65.01.05.2005,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
35,77212,Gunung Sari,65.01.05.2006,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
36,77212,Gunung Seriang,65.01.05.2004,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
37,77212,Jelarai Selor,65.01.05.2003,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
38,77212,Tanjung Selor Ilir/Hilir,65.01.05.1002,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
39,77212,Tanjung Selor Timur,65.01.05.1008,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
40,77211,Tanjung Selor Ulu/Hulu,65.01.05.1001,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
41,77212,Tengkapak,65.01.05.2009,Tanjung Selor,Kabupaten,Bulungan,Kalimantan Utara
42,77218,Ardi Mulyo (Ardi Mulya),65.01.03.2005,Tanjung Palas Utara,Kabupaten,Bulungan,Kalimantan Utara
43,77218,Karang Agung,65.01.03.2001,Tanjung Palas Utara,Kabupaten,Bulungan,Kalimantan Utara
44,77218,Kelubir,65.01.03.2006,Tanjung Palas Utara,Kabupaten,Bulungan,Kalimantan Utara
45,77218,Panca Agung,65.01.03.2003,Tanjung Palas Utara,Kabupaten,Bulungan,Kalimantan Utara
46,77218,Pimping,65.01.03.2002,Tanjung Palas Utara,Kabupaten,Bulungan,Kalimantan Utara
47,77218,Ruhui Rahayu,65.01.03.2004,Tanjung Palas Utara,Kabupaten,Bulungan,Kalimantan Utara
48,77215,Binai,65.01.04.2006,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
49,77215,Mangkupadi,65.01.04.2002,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
50,77215,Pura Sajau,65.01.04.2008,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
51,77215,Sajau,65.01.04.2003,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
52,77215,Sajau Hilir (Sajau Timur),65.01.04.2007,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
53,77215,Tanah Kuning,65.01.04.2001,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
54,77215,Tanjung Agung,65.01.04.2005,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
55,77215,Wonomulyo (Wono Mulyo),65.01.04.2004,Tanjung Palas Timur,Kabupaten,Bulungan,Kalimantan Utara
56,77216,Salimbatu (Salim Batu),65.01.06.2001,Tanjung Palas Tengah,Kabupaten,Bulungan,Kalimantan Utara
57,77216,Silva Rahayu,65.01.06.2002,Tanjung Palas Tengah,Kabupaten,Bulungan,Kalimantan Utara
58,77216,Tanjung Buka,65.01.06.2003,Tanjung Palas Tengah,Kabupaten,Bulungan,Kalimantan Utara
59,77217,Long Beluah,65.01.02.2001,Tanjung Palas Barat,Kabupaten,Bulungan,Kalimantan Utara
60,77217,Long Pari,65.01.02.2005,Tanjung Palas Barat,Kabupaten,Bulungan,Kalimantan Utara
61,77217,Long Sam,65.01.02.2002,Tanjung Palas Barat,Kabupaten,Bulungan,Kalimantan Utara
62,77217,Mara Hilir,65.01.02.2004,Tanjung Palas Barat,Kabupaten,Bulungan,Kalimantan Utara
63,77217,Mara I (Mara Satu),65.01.02.2003,Tanjung Palas Barat,Kabupaten,Bulungan,Kalimantan Utara
64,77211,Antutan,65.01.01.2007,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
65,77211,Gunung Putih,65.01.01.2005,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
66,77214,Karang Anyar,65.01.01.1004,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
67,77211,Pejalin,65.01.01.2006,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
68,77211,Tanjung Palas Ilir/Hilir,65.01.01.1003,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
69,77216,Tanjung Palas Tengah,65.01.01.1002,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
70,77215,Tanjung Palas Ulu/Hulu,65.01.01.1001,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
71,77214,Teras Baru,65.01.01.2008,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
72,77214,Teras Nawang,65.01.01.2009,Tanjung Palas,Kabupaten,Bulungan,Kalimantan Utara
73,77451,Sambungan,65.04.03.2003,Tana Lia,Kabupaten,Tana Tidung,Kalimantan Utara
74,77451,Sambungan Selatan,65.04.03.2005,Tana Lia,Kabupaten,Tana Tidung,Kalimantan Utara
75,77451,Tanah Merah,65.04.03.2001,Tana Lia,Kabupaten,Tana Tidung,Kalimantan Utara
76,77451,Tanah Merah Barat,65.04.03.2004,Tana Lia,Kabupaten,Tana Tidung,Kalimantan Utara
