no,postal_code,urban,area_code,sub_district,dt2,city,province
1,33784,Bukit Terap,19.03.06.2005,Tukak Sadai,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
2,33784,Pasir Putih,19.03.06.2003,Tukak Sadai,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
3,33784,Sadai,19.03.06.2001,Tukak Sadai,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
4,33784,Tiram,19.03.06.2004,Tukak Sadai,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
5,33784,Tukak,19.03.06.2002,Tukak Sadai,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
6,33783,Bikang,19.03.01.2006,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
7,33783,Gadung,19.03.01.2007,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
8,33783,Jeriji,19.03.01.2005,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
9,33783,Kaposang/Keposang,19.03.01.2012,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
10,33783,Kepoh,19.03.01.2010,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
11,33783,Rias,19.03.01.2008,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
12,33783,Rindik,19.03.01.2013,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
13,33783,Serdang,19.03.01.2004,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
14,33783,Tanjungketapang (Tanjung Ketapang),19.03.01.1003,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
15,33783,Teladan,19.03.01.1002,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
16,33783,Toboali,19.03.01.1001,Toboali,Kabupaten,Bangka Selatan,Kepulauan Bangka Belitung
17,33365,Air Lintang,19.05.05.2007,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
18,33365,Benteng Kota,19.05.05.2006,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
19,33365,Buyan Kelumbi,19.05.05.2004,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
20,33365,Penyampak,19.05.05.2005,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
21,33365,Sangku,19.05.05.2003,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
22,33365,Simpang Yul,19.05.05.2009,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
23,33365,Sinar Surya,19.05.05.2008,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
24,33365,Tanjung Niur (Tanjungniur),19.05.05.2002,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
25,33365,Tempilang,19.05.05.2001,Tempilang,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
26,33411,Aik Ketekok,19.02.01.2014,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
27,33414,Aik Pelempang Jaya (Aik Palempang Jaya),19.02.01.2013,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
28,33413,Aik Rayak,19.02.01.2015,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
29,33411,Air Merbau,19.02.01.2012,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
30,33415,Air Saga,19.02.01.2010,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
31,33411,Buluh Tumbang,19.02.01.2003,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
32,33411,Dukong,19.02.01.2007,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
33,33417,Juru Seberang,19.02.01.2008,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
34,33411,Kampong Damai,19.02.01.1016,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
35,33411,Kota,19.02.01.1001,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
36,33411,Lesung Batang,19.02.01.1005,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
37,33414,Paal Satu,19.02.01.1011,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
38,33412,Pangkallalang,19.02.01.1006,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
39,33411,Parit,19.02.01.1002,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
40,33413,Perawas,19.02.01.2004,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
41,33411,Tanjungpendam,19.02.01.1009,Tanjung Pandan,Kabupaten,Belitung,Kepulauan Bangka Belitung
42,33121,Batin Tikal,19.71.02.1003,Taman Sari,Kota,Pangkal Pinang,Kepulauan Bangka Belitung
43,33127,Gedung Nasional,19.71.02.1002,Taman Sari,Kota,Pangkal Pinang,Kepulauan Bangka Belitung
44,33123,Kejaksaan,19.71.02.1005,Taman Sari,Kota,Pangkal Pinang,Kepulauan Bangka Belitung
45,33121,Opas Indah,19.71.02.1001,Taman Sari,Kota,Pangkal Pinang,Kepulauan Bangka Belitung
46,33121,Rawa Bangun,19.71.02.1004,Taman Sari,Kota,Pangkal Pinang,Kepulauan Bangka Belitung
47,33211,Bukit Betung,19.01.01.1013,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
48,33211,Jelitik,19.01.01.1010,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
49,33211,Kenanga,19.01.01.1005,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
50,33213,Kudai,19.01.01.1003,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
51,33211,Lubuk Kelik,19.01.01.1012,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
52,33212,Matras,19.01.01.1009,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
53,33215,Parit Padang,19.01.01.1006,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
54,33211,Rebo,19.01.01.2007,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
55,33212,Sinar Baru,19.01.01.1004,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
56,33212,Sinar Jaya Jelutung,19.01.01.1008,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
57,33214,Sri Menanti,19.01.01.1002,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
58,33211,Sungailiat,19.01.01.1001,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
59,33211,Surya Timur,19.01.01.1011,Sungailiat (Sungai Liat),Kabupaten,Bangka,Kepulauan Bangka Belitung
60,33675,Kemingking,19.04.03.2007,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
61,33675,Kerakas,19.04.03.2011,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
62,33675,Kerantai,19.04.03.2002,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
63,33675,Keretak,19.04.03.2003,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
64,33675,Keretak Atas,19.04.03.2013,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
65,33675,Lampur,19.04.03.2004,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
66,33675,Melabun,19.04.03.2012,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
67,33675,Munggu,19.04.03.2006,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
68,33675,Romadhon (Romadhoni),19.04.03.2010,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
69,33675,Sarang Mandi (Sarangmandi),19.04.03.2005,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
70,33675,Sungai Selan,19.04.03.1001,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
71,33675,Sungai Selan Atas,19.04.03.2008,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
72,33675,Tanjung Pura,19.04.03.2009,Sungai Selan,Kabupaten,Bangka Tengah,Kepulauan Bangka Belitung
73,33366,Air Menduyung,19.05.02.2013,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
74,33366,Air Nyatoh,19.05.02.2005,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
75,33366,Berang,19.05.02.2006,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
76,33366,Bukit Terak,19.05.02.2012,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
77,33366,Ibul,19.05.02.2010,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
78,33366,Kundi,19.05.02.2002,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
79,33366,Mayang,19.05.02.2003,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
80,33366,Pangek,19.05.02.2011,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
81,33366,Pelangas,19.05.02.2001,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
82,33366,Peradong,19.05.02.2004,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
83,33366,Rambat,19.05.02.2007,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
84,33366,Simpang Gong (Simpang Gung),19.05.02.2008,Simpang Teritip,Kabupaten,Bangka Barat,Kepulauan Bangka Belitung
