no,postal_code,urban,area_code,sub_district,dt2,city,province
1,29669,Alai,21.02.11.1001,Ungar,Kabupaten,Karimun,Kepulauan Riau
2,29669,Batu Limau,21.02.11.2002,Ungar,Kabupaten,Karimun,Kepulauan Riau
3,29669,Ngal,21.02.11.2003,Ungar,Kabupaten,Karimun,Kepulauan Riau
4,29669,Sungai Buluh (Sungaibuluh),21.02.11.2004,Ungar,Kabupaten,Karimun,Kepulauan Riau
5,29157,Toapaya,21.01.12.2001,Toapaya,Kabupaten,Bintan,Kepulauan Riau
6,29157,Toapaya Asri,21.01.12.1004,Toapaya,Kabupaten,Bintan,Kepulauan Riau
7,29157,Toapaya Selatan,21.01.12.2003,Toapaya,Kabupaten,Bintan,Kepulauan Riau
8,29157,Toapaya Utara,21.01.12.2002,Toapaya,Kabupaten,Bintan,Kepulauan Riau
9,29873,Pulau Batang,21.04.12.2003,Temiang Pesisir,Kabupaten,Lingga,Kepulauan Riau
10,29873,Tajur Biru,21.04.12.2002,Temiang Pesisir,Kabupaten,Lingga,Kepulauan Riau
11,29873,Temiang,21.04.12.2001,Temiang Pesisir,Kabupaten,Lingga,Kepulauan Riau
12,29133,Bintan Buyu,21.01.08.2001,Teluk Bintan,Kabupaten,Bintan,Kepulauan Riau
13,29136,Pangkil,21.01.08.2002,Teluk Bintan,Kabupaten,Bintan,Kepulauan Riau
14,29134,Penaga,21.01.08.2003,Teluk Bintan,Kabupaten,Bintan,Kepulauan Riau
15,29135,Pengujan,21.01.08.2004,Teluk Bintan,Kabupaten,Bintan,Kepulauan Riau
16,29132,Tembeling,21.01.08.2005,Teluk Bintan,Kabupaten,Bintan,Kepulauan Riau
17,29132,Tembeling Tanjung,21.01.08.1006,Teluk Bintan,Kabupaten,Bintan,Kepulauan Riau
18,29154,Berakit,21.01.10.2001,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
19,29154,Ekang Anculai,21.01.10.2002,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
20,29154,Kota Baru,21.01.10.1007,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
21,29154,Pengudang,21.01.10.2003,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
22,29154,Sebung/Sebong Lagoi,21.01.10.2004,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
23,29154,Sebung/Sebong Pereh,21.01.10.2005,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
24,29154,Sri Bintan,21.01.10.2006,Telok Sebong (Teluk Sebong),Kabupaten,Bintan,Kepulauan Riau
25,29668,Harjosari,21.02.05.1008,Tebing,Kabupaten,Karimun,Kepulauan Riau
26,29668,Kapling,21.02.05.1003,Tebing,Kabupaten,Karimun,Kepulauan Riau
27,29668,Pamak,21.02.05.1004,Tebing,Kabupaten,Karimun,Kepulauan Riau
28,29668,Pongkar,21.02.05.2007,Tebing,Kabupaten,Karimun,Kepulauan Riau
29,29668,Tebing,21.02.05.1001,Tebing,Kabupaten,Karimun,Kepulauan Riau
30,29668,Teluk Uma,21.02.05.1002,Tebing,Kabupaten,Karimun,Kepulauan Riau
31,29122,Air Raja,21.72.02.1003,Tanjung Pinang Timur,Kota,Tanjung Pinang,Kepulauan Riau
32,29125,Batu IX (Sembilan),21.72.02.1004,Tanjung Pinang Timur,Kota,Tanjung Pinang,Kepulauan Riau
