no,postal_code,urban,area_code,sub_district,dt2,city,province
1,35685,Bandar Kejadian,18.06.03.2007,Wonosobo,Kabupaten,Tanggamus,Lampung
2,35685,Banjar Negara (Banjar Negoro),18.06.03.2019,Wonosobo,Kabupaten,Tanggamus,Lampung
3,35685,Banjar Sari (Banjarsari),18.06.03.2022,Wonosobo,Kabupaten,Tanggamus,Lampung
4,35685,Banyu Urip,18.06.03.2004,Wonosobo,Kabupaten,Tanggamus,Lampung
5,35685,Dadimulyo,18.06.03.2034,Wonosobo,Kabupaten,Tanggamus,Lampung
6,35685,Dadirejo,18.06.03.2003,Wonosobo,Kabupaten,Tanggamus,Lampung
7,35685,Dadisari,18.06.03.2017,Wonosobo,Kabupaten,Tanggamus,Lampung
8,35685,Kalirejo,18.06.03.2002,Wonosobo,Kabupaten,Tanggamus,Lampung
9,35685,Kalisari,18.06.03.2018,Wonosobo,Kabupaten,Tanggamus,Lampung
10,35685,Karang Anyar,18.06.03.2001,Wonosobo,Kabupaten,Tanggamus,Lampung
11,35685,Kejadian,18.06.03.2016,Wonosobo,Kabupaten,Tanggamus,Lampung
12,35685,Kunyayan,18.06.03.2021,Wonosobo,Kabupaten,Tanggamus,Lampung
13,35685,Lakaran,18.06.03.2011,Wonosobo,Kabupaten,Tanggamus,Lampung
14,35685,Negeri Ngarip,18.06.03.2023,Wonosobo,Kabupaten,Tanggamus,Lampung
15,35685,Padang Manis,18.06.03.2015,Wonosobo,Kabupaten,Tanggamus,Lampung
16,35685,Padang Ratu,18.06.03.2012,Wonosobo,Kabupaten,Tanggamus,Lampung
17,35685,Pardasuka (Parda Suka),18.06.03.2013,Wonosobo,Kabupaten,Tanggamus,Lampung
18,35685,Pekon Balak,18.06.03.2020,Wonosobo,Kabupaten,Tanggamus,Lampung
19,35685,Sampang Turus,18.06.03.2035,Wonosobo,Kabupaten,Tanggamus,Lampung
20,35685,Sinar Saudara,18.06.03.2009,Wonosobo,Kabupaten,Tanggamus,Lampung
21,35685,Soponyono,18.06.03.2006,Wonosobo,Kabupaten,Tanggamus,Lampung
22,35685,Sri Melati,18.06.03.2036,Wonosobo,Kabupaten,Tanggamus,Lampung
23,35685,Sridadi,18.06.03.2010,Wonosobo,Kabupaten,Tanggamus,Lampung
24,35685,Sumur Tujuh,18.06.03.2038,Wonosobo,Kabupaten,Tanggamus,Lampung
25,35685,Tanjung Kurung,18.06.03.2014,Wonosobo,Kabupaten,Tanggamus,Lampung
26,35685,Way Liwok,18.06.03.2037,Wonosobo,Kabupaten,Tanggamus,Lampung
27,35685,Way Panas,18.06.03.2008,Wonosobo,Kabupaten,Tanggamus,Lampung
28,35685,Wonosobo,18.06.03.2005,Wonosobo,Kabupaten,Tanggamus,Lampung
29,34772,Bandar Sari,18.08.08.2007,Way Tuba,Kabupaten,Way Kanan,Lampung
30,34772,Beringin Jaya,18.08.08.2004,Way Tuba,Kabupaten,Way Kanan,Lampung
31,34772,Bukit Gemuruh,18.08.08.2009,Way Tuba,Kabupaten,Way Kanan,Lampung
32,34772,Bukit Harapan,18.08.08.2012,Way Tuba,Kabupaten,Way Kanan,Lampung
33,34772,Bumi Dana,18.08.08.2008,Way Tuba,Kabupaten,Way Kanan,Lampung
34,34772,Karya Jaya,18.08.08.2002,Way Tuba,Kabupaten,Way Kanan,Lampung
35,34772,Ramsai (Ramsay),18.08.08.2006,Way Tuba,Kabupaten,Way Kanan,Lampung
36,34772,Say Umpu,18.08.08.2003,Way Tuba,Kabupaten,Way Kanan,Lampung
37,34772,Suma Mukti,18.08.08.2005,Way Tuba,Kabupaten,Way Kanan,Lampung
38,34772,Way Mencar,18.08.08.2010,Way Tuba,Kabupaten,Way Kanan,Lampung
39,34772,Way Pisang,18.08.08.2011,Way Tuba,Kabupaten,Way Kanan,Lampung
40,34772,Way Tuba,18.08.08.2001,Way Tuba,Kabupaten,Way Kanan,Lampung
41,34772,Way Tuba Asri,18.08.08.2013,Way Tuba,Kabupaten,Way Kanan,Lampung
42,34884,Fajar Bulan (Pajar Bulan),18.04.07.1001,Way Tenong,Kabupaten,Lampung Barat,Lampung
43,34884,Karang Agung,18.04.07.2003,Way Tenong,Kabupaten,Lampung Barat,Lampung
44,34884,Mutar Alam,18.04.07.2004,Way Tenong,Kabupaten,Lampung Barat,Lampung
45,34884,Padang Tambak,18.04.07.2008,Way Tenong,Kabupaten,Lampung Barat,Lampung
46,34884,Puralaksana (Pura Laksana),18.04.07.2002,Way Tenong,Kabupaten,Lampung Barat,Lampung
47,34884,Sukananti,18.04.07.2006,Way Tenong,Kabupaten,Lampung Barat,Lampung
48,34884,Sukaraja,18.04.07.2007,Way Tenong,Kabupaten,Lampung Barat,Lampung
49,34884,Tambak Jaya,18.04.07.2009,Way Tenong,Kabupaten,Lampung Barat,Lampung
50,34884,Tanjung Raya,18.04.07.2005,Way Tenong,Kabupaten,Lampung Barat,Lampung
51,35456,Banjarsari,18.01.23.2007,Way Sulan,Kabupaten,Lampung Selatan,Lampung
52,35456,Karang Pucung,18.01.23.2008,Way Sulan,Kabupaten,Lampung Selatan,Lampung
53,35456,Mekar Sari (Mekarsari),18.01.23.2001,Way Sulan,Kabupaten,Lampung Selatan,Lampung
54,35456,Pamulihan (Pemulihan),18.01.23.2004,Way Sulan,Kabupaten,Lampung Selatan,Lampung
55,35456,Purwodadi,18.01.23.2005,Way Sulan,Kabupaten,Lampung Selatan,Lampung
56,35456,Sukamaju,18.01.23.2006,Way Sulan,Kabupaten,Lampung Selatan,Lampung
57,35456,Sumber Agung (Sumberagung),18.01.23.2002,Way Sulan,Kabupaten,Lampung Selatan,Lampung
58,35456,Talang Way Sulan,18.01.23.2003,Way Sulan,Kabupaten,Lampung Selatan,Lampung
59,34694,Buko Poso,18.11.04.2001,Way Serdang,Kabupaten,Mesuji,Lampung
60,34694,Bumi Harapan,18.11.04.2003,Way Serdang,Kabupaten,Mesuji,Lampung
61,34694,Gedung Boga,18.11.04.2006,Way Serdang,Kabupaten,Mesuji,Lampung
62,34694,Hadi Mulyo,18.11.04.2009,Way Serdang,Kabupaten,Mesuji,Lampung
63,34694,Karang Mulya,18.11.04.2018,Way Serdang,Kabupaten,Mesuji,Lampung
64,34694,Kebun Dalem,18.11.04.2004,Way Serdang,Kabupaten,Mesuji,Lampung
65,34694,Kejadian,18.11.04.2002,Way Serdang,Kabupaten,Mesuji,Lampung
66,34694,Labuhan Baru,18.11.04.2011,Way Serdang,Kabupaten,Mesuji,Lampung
67,34694,Labuhan Batin,18.11.04.2010,Way Serdang,Kabupaten,Mesuji,Lampung
68,34694,Labuhan Makmur,18.11.04.2012,Way Serdang,Kabupaten,Mesuji,Lampung
69,34694,Labuhan Mulya,18.11.04.2017,Way Serdang,Kabupaten,Mesuji,Lampung
70,34694,Labuhan Permai,18.11.04.2014,Way Serdang,Kabupaten,Mesuji,Lampung
71,34694,Margo Bhakti,18.11.04.2016,Way Serdang,Kabupaten,Mesuji,Lampung
72,34694,Panca Warna,18.11.04.2005,Way Serdang,Kabupaten,Mesuji,Lampung
73,34694,Rejo Mulyo,18.11.04.2008,Way Serdang,Kabupaten,Mesuji,Lampung
74,34694,Sri Gedung Mulya,18.11.04.2013,Way Serdang,Kabupaten,Mesuji,Lampung
75,34694,Suka Agung,18.11.04.2007,Way Serdang,Kabupaten,Mesuji,Lampung
76,34694,Suka Mandiri,18.11.04.2020,Way Serdang,Kabupaten,Mesuji,Lampung
77,34694,Sumber Rejo,18.11.04.2015,Way Serdang,Kabupaten,Mesuji,Lampung
78,34694,Tri Tunggal Jaya,18.11.04.2019,Way Serdang,Kabupaten,Mesuji,Lampung
79,34179,Sangga Buana,18.02.25.2006,Way Seputih,Kabupaten,Lampung Tengah,Lampung
80,34179,Sri Bawono,18.02.25.2002,Way Seputih,Kabupaten,Lampung Tengah,Lampung
81,34179,Sri Binangun,18.02.25.2001,Way Seputih,Kabupaten,Lampung Tengah,Lampung
82,34179,Sri Budaya,18.02.25.2003,Way Seputih,Kabupaten,Lampung Tengah,Lampung
83,34179,Sri Busono,18.02.25.2005,Way Seputih,Kabupaten,Lampung Tengah,Lampung
84,34179,Suko Binangun,18.02.25.2004,Way Seputih,Kabupaten,Lampung Tengah,Lampung
85,35455,Bunut,18.09.11.2001,Way Ratai,Kabupaten,Pesawaran,Lampung
86,35455,Bunut Seberang,18.09.11.2002,Way Ratai,Kabupaten,Pesawaran,Lampung
87,35455,Ceringin Asri (Ceringin Sari),18.09.11.2004,Way Ratai,Kabupaten,Pesawaran,Lampung
88,35455,Gunung Rejo,18.09.11.2008,Way Ratai,Kabupaten,Pesawaran,Lampung
89,35455,Harapan Jaya,18.09.11.2010,Way Ratai,Kabupaten,Pesawaran,Lampung
90,35455,Kalirejo,18.09.11.2011,Way Ratai,Kabupaten,Pesawaran,Lampung
91,35455,Mulyo Sari,18.09.11.2006,Way Ratai,Kabupaten,Pesawaran,Lampung
92,35455,Pesawaran Indah,18.09.11.2009,Way Ratai,Kabupaten,Pesawaran,Lampung
93,35455,Poncorejo,18.09.11.2007,Way Ratai,Kabupaten,Pesawaran,Lampung
94,35455,Sumber Jaya,18.09.11.2005,Way Ratai,Kabupaten,Pesawaran,Lampung
95,35455,Wates Way Ratai,18.09.11.2003,Way Ratai,Kabupaten,Pesawaran,Lampung
96,35354,Bali Nuraga,18.01.24.2004,Way Panji,Kabupaten,Lampung Selatan,Lampung
97,35354,Sidoharjo (Sido Harjo),18.01.24.2001,Way Panji,Kabupaten,Lampung Selatan,Lampung
98,35354,Sidomakmur (Sido Makmur),18.01.24.2002,Way Panji,Kabupaten,Lampung Selatan,Lampung
99,35354,Sidoreno (Sido Reno),18.01.24.2003,Way Panji,Kabupaten,Lampung Selatan,Lampung
100,35213,Banjar Kertahayu,18.02.17.2004,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
101,35213,Banjar Ratu,18.02.17.2003,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
102,35213,Banjar Rejo,18.02.17.2007,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
103,35213,Candi Rejo,18.02.17.2002,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
104,35213,Lempuyang Bandar,18.02.17.2005,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
105,35213,Purnama Tunggal,18.02.17.2006,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
106,35213,Putra Lempuyang,18.02.17.2008,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
107,35213,Tanjung Ratu Ilir,18.02.17.2001,Way Pangubuan,Kabupaten,Lampung Tengah,Lampung
108,35367,Banjar Negeri,18.09.04.2002,Way Lima,Kabupaten,Pesawaran,Lampung
109,35367,Baturaja (Batu Raja),18.09.04.2010,Way Lima,Kabupaten,Pesawaran,Lampung
110,35367,Cimanuk,18.09.04.2014,Way Lima,Kabupaten,Pesawaran,Lampung
111,35367,Gedong Dalam,18.09.04.2008,Way Lima,Kabupaten,Pesawaran,Lampung
112,35367,Gunung Rejo,18.09.04.2012,Way Lima,Kabupaten,Pesawaran,Lampung
113,35367,Kota Dalam,18.09.04.2006,Way Lima,Kabupaten,Pesawaran,Lampung
114,35367,Margodadi,18.09.04.2013,Way Lima,Kabupaten,Pesawaran,Lampung
115,35367,Padang Manis,18.09.04.2001,Way Lima,Kabupaten,Pesawaran,Lampung
116,35367,Paguyuban,18.09.04.2016,Way Lima,Kabupaten,Pesawaran,Lampung
117,35367,Pekondoh,18.09.04.2005,Way Lima,Kabupaten,Pesawaran,Lampung
118,35367,Pekondoh Gedung,18.09.04.2004,Way Lima,Kabupaten,Pesawaran,Lampung
119,35367,Sidodadi,18.09.04.2003,Way Lima,Kabupaten,Pesawaran,Lampung
120,35367,Sindang Garut,18.09.04.2009,Way Lima,Kabupaten,Pesawaran,Lampung
121,35367,Sukamandi,18.09.04.2015,Way Lima,Kabupaten,Pesawaran,Lampung
122,35367,Tanjung Agung,18.09.04.2007,Way Lima,Kabupaten,Pesawaran,Lampung
123,35367,Way Harong,18.09.04.2011,Way Lima,Kabupaten,Pesawaran,Lampung
124,34898,Banjar Agung,18.13.07.2003,Way Krui,Kabupaten,Pesisir Barat,Lampung
125,34898,Bumi Waras,18.13.07.2002,Way Krui,Kabupaten,Pesisir Barat,Lampung
126,34898,Gunung Kemala,18.13.07.2006,Way Krui,Kabupaten,Pesisir Barat,Lampung
127,34898,Gunungkemala Timur (Gunung Kemala Timur),18.13.07.2010,Way Krui,Kabupaten,Pesisir Barat,Lampung
128,34898,Labuhan Mandi (Labuan),18.13.07.2007,Way Krui,Kabupaten,Pesisir Barat,Lampung
129,34898,Pajar Bulan,18.13.07.2001,Way Krui,Kabupaten,Pesisir Barat,Lampung
130,34898,Penggawa Lima (Penggawa V),18.13.07.2009,Way Krui,Kabupaten,Pesisir Barat,Lampung
131,34898,Penggawa V Ilir,18.13.07.2004,Way Krui,Kabupaten,Pesisir Barat,Lampung
132,34898,Suka Baru (Sukabaru),18.13.07.2008,Way Krui,Kabupaten,Pesisir Barat,Lampung
133,34898,Ulu Krui,18.13.07.2005,Way Krui,Kabupaten,Pesisir Barat,Lampung
134,35369,Bayas Jaya,18.09.09.2004,Way Khilau,Kabupaten,Pesawaran,Lampung
135,35369,Gunung Sari (Gunungsari),18.09.09.2007,Way Khilau,Kabupaten,Pesawaran,Lampung
136,35369,Kota Jawa,18.09.09.2006,Way Khilau,Kabupaten,Pesawaran,Lampung
137,35369,Kubu Batu,18.09.09.2009,Way Khilau,Kabupaten,Pesawaran,Lampung
138,35369,Mada Jaya,18.09.09.2008,Way Khilau,Kabupaten,Pesawaran,Lampung
139,35369,Padang Cermin,18.09.09.2003,Way Khilau,Kabupaten,Pesawaran,Lampung
140,35369,Penengahan,18.09.09.2001,Way Khilau,Kabupaten,Pesawaran,Lampung
141,35369,Suka Jaya (Sukajaya),18.09.09.2002,Way Khilau,Kabupaten,Pesawaran,Lampung
142,35369,Tanjung Kerta,18.09.09.2005,Way Khilau,Kabupaten,Pesawaran,Lampung
143,35368,Tanjung Rejo,18.09.09.2010,Way Khilau,Kabupaten,Pesawaran,Lampung
144,34788,Agung Jaya,18.12.06.2001,Way Kenanga,Kabupaten,Tulang Bawang Barat,Lampung
145,34788,Balam Asri,18.12.06.2007,Way Kenanga,Kabupaten,Tulang Bawang Barat,Lampung
146,34788,Balam Jaya,18.12.06.2003,Way Kenanga,Kabupaten,Tulang Bawang Barat,Lampung
147,34788,Indraloka I,18.12.06.2005,Way Kenanga,Kabupaten,Tulang Bawang Barat,Lampung
148,34788,Indraloka II,18.12.06.2006,Way Kenanga,Kabupaten,Tulang Bawang Barat,Lampung
149,34788,Indraloka Jaya,18.12.06.2008,Way Kenanga,Kabupaten,Tulang Bawang Barat,Lampung
