no,postal_code,urban,area_code,sub_district,dt2,city,province
1,97465,Abat,81.03.07.2001,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
2,97465,Awear Rumngeur,81.03.07.2009,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
3,97465,Karatat,81.03.07.2010,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
4,97465,Kiloon,81.03.07.2012,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
5,97465,Labobar,81.03.07.2002,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
6,97465,Lingada,81.03.07.2013,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
7,97465,Romnus,81.03.07.2016,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
8,97465,Teineman,81.03.07.2014,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
9,97465,Wabar,81.03.07.2015,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
10,97465,Watmasa,81.03.07.2008,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
11,97465,Wunlah,81.03.07.2011,Wuar Labobar,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
12,97449,Elsulith,81.08.13.2002,Wetar Utara,Kabupaten,Maluku Barat Daya,Maluku
13,97449,Eray,81.08.13.2006,Wetar Utara,Kabupaten,Maluku Barat Daya,Maluku
14,97449,Lurang,81.08.13.2004,Wetar Utara,Kabupaten,Maluku Barat Daya,Maluku
15,97449,Nabar,81.08.13.2001,Wetar Utara,Kabupaten,Maluku Barat Daya,Maluku
16,97449,Naumatang,81.08.13.2003,Wetar Utara,Kabupaten,Maluku Barat Daya,Maluku
17,97449,Uhak,81.08.13.2005,Wetar Utara,Kabupaten,Maluku Barat Daya,Maluku
18,97448,Arwala,81.08.15.2002,Wetar Timur,Kabupaten,Maluku Barat Daya,Maluku
19,97448,Ilpokil,81.08.15.2005,Wetar Timur,Kabupaten,Maluku Barat Daya,Maluku
20,97448,Ilway,81.08.15.2003,Wetar Timur,Kabupaten,Maluku Barat Daya,Maluku
21,97448,Kahilin,81.08.15.2004,Wetar Timur,Kabupaten,Maluku Barat Daya,Maluku
22,97448,Moning,81.08.15.2001,Wetar Timur,Kabupaten,Maluku Barat Daya,Maluku
23,97448,Tomliapat,81.08.15.2006,Wetar Timur,Kabupaten,Maluku Barat Daya,Maluku
24,97446,Amau,81.08.06.2021,Wetar Selatan,Kabupaten,Maluku Barat Daya,Maluku
25,97446,Hiay,81.08.06.2023,Wetar Selatan,Kabupaten,Maluku Barat Daya,Maluku
26,97446,Ilputih,81.08.06.2002,Wetar Selatan,Kabupaten,Maluku Barat Daya,Maluku
27,97446,Ilwaki,81.08.06.2001,Wetar Selatan,Kabupaten,Maluku Barat Daya,Maluku
28,97446,Mahuan,81.08.06.2003,Wetar Selatan,Kabupaten,Maluku Barat Daya,Maluku
29,97446,Masapun,81.08.06.2004,Wetar Selatan,Kabupaten,Maluku Barat Daya,Maluku
30,97447,Ilmamau,81.08.14.2005,Wetar Barat,Kabupaten,Maluku Barat Daya,Maluku
31,97447,Karbubu,81.08.14.2002,Wetar Barat,Kabupaten,Maluku Barat Daya,Maluku
32,97447,Klishatu,81.08.14.2004,Wetar Barat,Kabupaten,Maluku Barat Daya,Maluku
33,97447,Telemar,81.08.14.2001,Wetar Barat,Kabupaten,Maluku Barat Daya,Maluku
34,97447,Ustutun,81.08.14.2003,Wetar Barat,Kabupaten,Maluku Barat Daya,Maluku
35,97473,Amdasa,81.03.03.2004,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
36,97473,Arui Bab,81.03.03.2006,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
37,97473,Arui Das,81.03.03.2007,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
38,97473,Atubul Da,81.03.03.2009,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
39,97473,Atubul Dol,81.03.03.2003,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
40,97473,Lorulun,81.03.03.2002,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
41,97473,Sangliat Dol,81.03.03.2008,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
42,97473,Sangliat Krawain,81.03.03.2005,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
43,97473,Tumbur,81.03.03.2001,Wertamrian (Wer Tamrian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
44,97472,Batu Putih,81.03.04.2007,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
45,97472,Kamatubun,81.03.04.2001,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
46,97472,Makatian (Makatiang),81.03.04.2008,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
47,97472,Marantutul,81.03.04.2009,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
48,97472,Rumahsalut (Rumasalut),81.03.04.2002,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
49,97472,Themin,81.03.04.2004,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
50,97472,Welutu,81.03.04.2003,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
51,97472,Weratan,81.03.04.2005,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
52,97472,Wermatang,81.03.04.2006,Wermaktian (Wer Maktian),Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku
53,97525,Batuasa,81.05.03.2001,Werinama,Kabupaten,Seram Bagian Timur,Maluku
54,97525,Bemo,81.05.03.2004,Werinama,Kabupaten,Seram Bagian Timur,Maluku
55,97525,Bemo Perak,81.05.03.2021,Werinama,Kabupaten,Seram Bagian Timur,Maluku
56,97525,Funa Naibaya,81.05.03.2022,Werinama,Kabupaten,Seram Bagian Timur,Maluku
57,97525,Gusalaut,81.05.03.2016,Werinama,Kabupaten,Seram Bagian Timur,Maluku
58,97525,Hatuimeten,81.05.03.2002,Werinama,Kabupaten,Seram Bagian Timur,Maluku
59,97525,Osong,81.05.03.2017,Werinama,Kabupaten,Seram Bagian Timur,Maluku
60,97525,Tobo,81.05.03.2018,Werinama,Kabupaten,Seram Bagian Timur,Maluku
61,97525,Tum,81.05.03.2015,Werinama,Kabupaten,Seram Bagian Timur,Maluku
62,97525,Werinama,81.05.03.2003,Werinama,Kabupaten,Seram Bagian Timur,Maluku
63,97573,Hatawano,81.04.06.2006,Waplau,Kabupaten,Buru,Maluku
64,97573,Lamahang,81.04.06.2001,Waplau,Kabupaten,Buru,Maluku
65,97573,Namsina,81.04.06.2005,Waplau,Kabupaten,Buru,Maluku
66,97573,Samalagi,81.04.06.2004,Waplau,Kabupaten,Buru,Maluku
67,97573,Skikilale,81.04.06.2010,Waplau,Kabupaten,Buru,Maluku
68,97573,Waepotih,81.04.06.2009,Waplau,Kabupaten,Buru,Maluku
69,97573,Waeura,81.04.06.2003,Waplau,Kabupaten,Buru,Maluku
70,97573,Wailihang (Waelihang),81.04.06.2007,Waplau,Kabupaten,Buru,Maluku
71,97573,Waplau,81.04.06.2002,Waplau,Kabupaten,Buru,Maluku
72,97573,Waprea,81.04.06.2008,Waplau,Kabupaten,Buru,Maluku
73,97595,Amarlaut,81.05.05.2006,Wakate,Kabupaten,Seram Bagian Timur,Maluku
74,97595,Effa,81.05.05.2002,Wakate,Kabupaten,Seram Bagian Timur,Maluku
75,97595,Guliar,81.05.05.2022,Wakate,Kabupaten,Seram Bagian Timur,Maluku
76,97595,Ilili,81.05.05.2001,Wakate,Kabupaten,Seram Bagian Timur,Maluku
77,97595,Karlomin,81.05.05.2023,Wakate,Kabupaten,Seram Bagian Timur,Maluku
78,97595,Kelangan,81.05.05.2005,Wakate,Kabupaten,Seram Bagian Timur,Maluku
79,97595,Keldor,81.05.05.2011,Wakate,Kabupaten,Seram Bagian Timur,Maluku
80,97595,Kilbutak,81.05.05.2026,Wakate,Kabupaten,Seram Bagian Timur,Maluku
81,97595,Kurwara,81.05.05.2025,Wakate,Kabupaten,Seram Bagian Timur,Maluku
82,97595,Lahema,81.05.05.2003,Wakate,Kabupaten,Seram Bagian Timur,Maluku
83,97595,Otademan,81.05.05.2024,Wakate,Kabupaten,Seram Bagian Timur,Maluku
84,97595,Ruma Durun,81.05.05.2027,Wakate,Kabupaten,Seram Bagian Timur,Maluku
85,97595,Tamher Timur,81.05.05.2008,Wakate,Kabupaten,Seram Bagian Timur,Maluku
86,97595,Tamher Warat,81.05.05.2007,Wakate,Kabupaten,Seram Bagian Timur,Maluku
87,97595,Tana Soa,81.05.05.2028,Wakate,Kabupaten,Seram Bagian Timur,Maluku
88,97595,Tanah Baru,81.05.05.2021,Wakate,Kabupaten,Seram Bagian Timur,Maluku
89,97595,Utta,81.05.05.2004,Wakate,Kabupaten,Seram Bagian Timur,Maluku
90,97595,Wunin Eldedora,81.05.05.2010,Wakate,Kabupaten,Seram Bagian Timur,Maluku
91,97545,Batu Kasa,81.09.02.2011,Waesama,Kabupaten,Buru Selatan,Maluku
92,97545,Hote,81.09.02.2009,Waesama,Kabupaten,Buru Selatan,Maluku
93,97545,Lena,81.09.02.2003,Waesama,Kabupaten,Buru Selatan,Maluku
94,97545,Pohon Batu,81.09.02.2007,Waesama,Kabupaten,Buru Selatan,Maluku
95,97545,Simi,81.09.02.2004,Waesama,Kabupaten,Buru Selatan,Maluku
96,97545,Waelikut,81.09.02.2005,Waesama,Kabupaten,Buru Selatan,Maluku
97,97545,Waemasing,81.09.02.2010,Waesama,Kabupaten,Buru Selatan,Maluku
98,97545,Waesili,81.09.02.2002,Waesama,Kabupaten,Buru Selatan,Maluku
99,97545,Waetawa,81.09.02.2001,Waesama,Kabupaten,Buru Selatan,Maluku
100,97545,Waeteba (Waetaba),81.09.02.2008,Waesama,Kabupaten,Buru Selatan,Maluku
101,97545,Wamsisi,81.09.02.2006,Waesama,Kabupaten,Buru Selatan,Maluku
102,97579,Basalale,81.04.12.2006,Waelata,Kabupaten,Buru,Maluku
103,97579,Dava,81.04.12.2008,Waelata,Kabupaten,Buru,Maluku
104,97579,Deboway / Debowae,81.04.12.2002,Waelata,Kabupaten,Buru,Maluku
105,97579,Parbulu,81.04.12.2003,Waelata,Kabupaten,Buru,Maluku
106,97579,Waehata,81.04.12.2009,Waelata,Kabupaten,Buru,Maluku
107,97579,Waeleman,81.04.12.2005,Waelata,Kabupaten,Buru,Maluku
108,97579,Waelo,81.04.12.2001,Waelata,Kabupaten,Buru,Maluku
109,97579,Waetina,81.04.12.2004,Waelata,Kabupaten,Buru,Maluku
110,97579,Waflan,81.04.12.2007,Waelata,Kabupaten,Buru,Maluku
111,97579,Widit,81.04.12.2010,Waelata,Kabupaten,Buru,Maluku
112,97578,Gogorea,81.04.03.2027,Waeapo,Kabupaten,Buru,Maluku
113,97578,Savana Jaya,81.04.03.2001,Waeapo,Kabupaten,Buru,Maluku
114,97578,Waekasar,81.04.03.2003,Waeapo,Kabupaten,Buru,Maluku
115,97578,Waekerta,81.04.03.2016,Waeapo,Kabupaten,Buru,Maluku
116,97578,Waenetat,81.04.03.2004,Waeapo,Kabupaten,Buru,Maluku
117,97578,Waetele,81.04.03.2002,Waeapo,Kabupaten,Buru,Maluku
118,97578,Wanareja,81.04.03.2019,Waeapo,Kabupaten,Buru,Maluku
119,97594,Airkasar,81.05.06.2005,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
120,97594,Bati Kilwouw,81.05.06.2009,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
121,97594,Danama,81.05.06.2001,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
122,97594,Gah,81.05.06.2007,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
123,97594,Kilbat,81.05.06.2003,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
124,97594,Kilmoy,81.05.06.2002,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
125,97594,Kufar,81.05.06.2011,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
126,97594,Sesar,81.05.06.2004,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
127,97594,Taruy,81.05.06.2010,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
128,97594,Walang Tenga,81.05.06.2008,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
129,97594,Waras-Waras,81.05.06.2006,Tutuk Tolu,Kabupaten,Seram Bagian Timur,Maluku
130,97597,Duryar Rumoy,81.05.10.2004,Teor,Kabupaten,Seram Bagian Timur,Maluku
131,97597,Kampung Baru,81.05.10.2007,Teor,Kabupaten,Seram Bagian Timur,Maluku
132,97597,Kampung Tengah Wermaf,81.05.10.2006,Teor,Kabupaten,Seram Bagian Timur,Maluku
133,97597,Karlokin,81.05.10.2010,Teor,Kabupaten,Seram Bagian Timur,Maluku
134,97597,Kartutin Kartenga,81.05.10.2002,Teor,Kabupaten,Seram Bagian Timur,Maluku
135,97597,Ker Ker,81.05.10.2003,Teor,Kabupaten,Seram Bagian Timur,Maluku
136,97597,Kiliwouw,81.05.10.2009,Teor,Kabupaten,Seram Bagian Timur,Maluku
137,97597,Lapang Kampung Jawa,81.05.10.2005,Teor,Kabupaten,Seram Bagian Timur,Maluku
138,97597,Mamur,81.05.10.2008,Teor,Kabupaten,Seram Bagian Timur,Maluku
139,97597,Teor,81.05.10.2001,Teor,Kabupaten,Seram Bagian Timur,Maluku
140,97535,Ameth,81.01.02.2005,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
141,97535,Bumey,81.01.02.2007,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
142,97535,Isu (Issu),81.01.02.2011,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
143,97535,Jerili,81.01.02.2015,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
144,97535,Kokroman,81.01.02.2003,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
145,97535,Kuralele,81.01.02.2002,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
146,97535,Layeni,81.01.02.2009,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
147,97535,Lesluru,81.01.02.2012,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
148,97535,Mesa (Messa),81.01.02.2004,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
149,97535,Nakupia,81.01.02.2016,Teon Nila Serua,Kabupaten,Maluku Tengah,Maluku
