no,postal_code,urban,area_code,sub_district,dt2,city,province
1,84251,Baka Jaya,52.05.05.2014,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
2,84251,Bara,52.05.05.2008,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
3,84218,Kandai II,52.05.05.1002,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
4,84251,Mada Prama,52.05.05.2009,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
5,84251,Matua,52.05.05.2006,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
6,84219,Monta Baru,52.05.05.1001,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
7,84251,Mumbu,52.05.05.2011,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
8,84251,Nowa,52.05.05.2007,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
9,84251,Raba Baka,52.05.05.2013,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
10,84251,Riwo,52.05.05.2010,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
11,84251,Saneo,52.05.05.2004,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
12,84251,Sera Kapi,52.05.05.2012,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
13,84216,Simpasai,52.05.05.1003,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
14,84251,Wawonduru,52.05.05.2005,Woja,Kabupaten,Dompu,Nusa Tenggara Barat (NTB)
15,84171,Dadibou,52.06.03.2010,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
16,84171,Donggobolo,52.06.03.2009,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
17,84171,Kalampa,52.06.03.2006,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
18,84171,Keli,52.06.03.2001,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
19,84171,Naru,52.06.03.2012,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
20,84171,Nisa,52.06.03.2013,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
21,84171,Pandai,52.06.03.2008,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
22,84171,Penapali,52.06.03.2015,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
23,84171,Rabakodo,52.06.03.2004,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
24,84171,Risa,52.06.03.2007,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
25,84171,Samili,52.06.03.2005,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
26,84171,Talabiu,52.06.03.2011,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
27,84171,Tenga,52.06.03.2002,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
28,84171,Tente,52.06.03.2003,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
29,84171,Waduwani,52.06.03.2014,Woha,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
30,84152,Bala,52.06.07.2008,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
31,84152,Hadirasa,52.06.07.2005,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
32,84152,Kalajena,52.06.07.2013,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
33,84152,Mandala,52.06.07.2014,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
34,84152,Nanga Wera,52.06.07.2011,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
35,84152,Ntoke,52.06.07.2001,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
36,84152,Nunggi,52.06.07.2003,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
37,84152,Oi Tui,52.06.07.2009,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
38,84152,Pai,52.06.07.2002,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
39,84152,Ranggasolo,52.06.07.2012,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
40,84152,Sangiang,52.06.07.2007,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
41,84152,Tadewa,52.06.07.2010,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
42,84152,Tawali,52.06.07.2004,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
43,84152,Wora,52.06.07.2006,Wera,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
44,84184,Kambilo,52.06.05.2011,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
45,84184,Kombo,52.06.05.2013,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
46,84184,Maria,52.06.05.2006,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
47,84184,Maria Utara,52.06.05.2012,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
48,84184,Ntori,52.06.05.2005,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
49,84184,Pesa,52.06.05.2007,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
50,84184,Raba,52.06.05.2008,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
51,84184,Rianmau,52.06.05.2014,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
52,84184,Tarlawi,52.06.05.2001,Wawo,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
53,83650,Bandok,52.03.14.2009,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
54,83650,Bebidas,52.03.14.2005,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
55,83650,Beriri Jarak,52.03.14.2008,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
56,83650,Jineng,52.03.14.2012,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
57,83650,Karang Baru,52.03.14.2004,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
58,83650,Karang Baru Timur,52.03.14.2014,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
59,83650,Mamben Baru,52.03.14.2010,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
60,83650,Mamben Daya,52.03.14.2001,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
61,83650,Mamben Lauk/Lauq,52.03.14.2002,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
62,83650,Otak Rarangan,52.03.14.2011,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
63,83650,Tembeng Putik,52.03.14.2006,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
64,83650,Wanasaba,52.03.14.2003,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
65,83650,Wanasaba Daya,52.03.14.2013,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
66,83650,Wanasaba Lauk,52.03.14.2007,Wanasaba,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
67,84351,Bale Brang,52.04.06.2012,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
68,84351,Jorok,52.04.06.2005,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
69,84351,Labuhan Bajo (Labuan Bajo),52.04.06.2002,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
70,84351,Motong,52.04.06.2006,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
71,84351,Orong Bawa,52.04.06.2004,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
72,84351,Pukat,52.04.06.2003,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
73,84351,Sebedo (Sabedo),52.04.06.2008,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
74,84351,Stowe Brang,52.04.06.2001,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
75,84351,Tengah,52.04.06.2007,Utan,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
76,84310,Boak,52.04.22.2003,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
77,84310,Jorok,52.04.22.2004,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
78,84310,Kerato,52.04.22.2005,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
79,84310,Kerekeh,52.04.22.2002,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
80,84310,Nijang,52.04.22.2008,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
81,84310,Pelat,52.04.22.2001,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
82,84310,Pungka,52.04.22.2006,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
83,84310,Uma Beringin,52.04.22.2007,Unter Iwes (Unterwiris),Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
84,83664,Embung Kandong,52.03.03.2013,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
85,83664,Embung Raja,52.03.03.2011,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
86,83664,Jenggik,52.03.03.2001,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
87,83664,Kalianyar,52.03.03.2014,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
88,83664,Lando,52.03.03.2009,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
89,83664,Leming,52.03.03.2008,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
90,83664,Pandan Duri,52.03.03.2016,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
91,83664,Rarang,52.03.03.2002,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
92,83664,Rarang Batas,52.03.03.2015,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
93,83664,Rarang Selatan,52.03.03.2007,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
94,83664,Rarang Tengah,52.03.03.2010,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
95,83664,Santong,52.03.03.2004,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
96,83664,Selagik,52.03.03.2012,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
97,83664,Sukadana,52.03.03.2006,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
98,83664,Suradadi,52.03.03.2003,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
99,83664,Terara,52.03.03.2005,Terara,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
100,84385,Banda,52.04.25.2007,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
101,84385,Bantulante,52.04.25.2001,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
102,84385,Labuhan Aji,52.04.25.2003,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
103,84385,Labuhan Bontong,52.04.25.2002,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
104,84385,Labuhan Jambu,52.04.25.2004,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
105,84385,Labuhan Pidang,52.04.25.2008,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
106,84385,Mata,52.04.25.2005,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
107,84385,Tolo Oi,52.04.25.2006,Tarano,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
108,83350,Jenggala,52.08.01.2003,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
109,83350,Medana,52.08.01.2006,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
110,83350,Sama Guna,52.08.01.2008,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
111,83350,Sigar Penjalin (Pinjalin),52.08.01.2005,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
112,83350,Sokong,52.08.01.2002,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
113,83350,Tanjung,52.08.01.2001,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
114,83350,Tegal Maja,52.08.01.2004,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
115,83350,Teniga,52.08.01.2007,Tanjung,Kabupaten,Lombok Utara,Nusa Tenggara Barat (NTB)
116,84190,Kawinda Nae,52.06.14.2002,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
117,84190,Kawinda Toi,52.06.14.2003,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
118,84190,Labuhan Kenanga,52.06.14.2001,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
119,84190,Oi Bura,52.06.14.2005,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
120,84190,Oi Katupa,52.06.14.2006,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
121,84190,Oi Panihi,52.06.14.2004,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
122,84190,Rasabou,52.06.14.2007,Tambora,Kabupaten,Bima,Nusa Tenggara Barat (NTB)
123,84452,Arab Kenangan,52.07.02.1019,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
124,84452,Banjar,52.07.02.2014,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
125,84452,Batu Putih,52.07.02.2015,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
126,84452,Bugis,52.07.02.1006,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
127,84452,Dalam,52.07.02.1007,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
128,84452,Kuang,52.07.02.1005,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
129,84452,Labuhan Kertasari (Labuan Kertasari),52.07.02.2010,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
130,84452,Labuhan Lalar (Labuan Lalar),52.07.02.2001,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
131,84452,Lalar Liang (Lalang Liang),52.07.02.2009,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
132,84452,Lamunga,52.07.02.2021,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
133,84452,Menala,52.07.02.1004,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
134,84452,Sampir,52.07.02.1008,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
135,84452,Seloto,52.07.02.2011,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
136,84452,Sermong,52.07.02.2020,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
137,84452,Tamekan,52.07.02.2013,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
138,84452,Telaga Bertong,52.07.02.1012,Taliwang,Kabupaten,Sumbawa Barat,Nusa Tenggara Barat (NTB)
139,83655,Ketangga,52.03.16.2002,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
140,83655,Mekar Sari,52.03.16.2007,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
141,83655,Perigi,52.03.16.2006,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
142,83655,Puncak Jeringo,52.03.16.2008,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
143,83655,Sapit,52.03.16.2005,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
144,83655,Selaparang,52.03.16.2001,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
145,83655,Suela (Suwela),52.03.16.2004,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
146,83655,Suntalangu,52.03.16.2003,Suwela (Suela),Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
147,83651,Anjani,52.03.13.2001,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
148,83651,Bagik Payung,52.03.13.2004,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
149,83651,Bagik Payung Selatan,52.03.13.2006,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
150,83651,Bagik Payung Timur,52.03.13.2011,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
151,83651,Bintang Rinjani,52.03.13.2014,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
152,83651,Dames Damai,52.03.13.2010,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
153,83651,Dasan Borok,52.03.13.2008,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
154,83651,Gapuk,52.03.13.2013,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
155,83651,Gerung Permai,52.03.13.2009,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
156,83651,Kerongkong,52.03.13.2003,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
157,83651,Paok Lombok,52.03.13.2015,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
158,83651,Suralaga,52.03.13.2005,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
159,83651,Tebaban,52.03.13.2002,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
160,83651,Tumbuh Mulia,52.03.13.2007,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
161,83651,Waringin,52.03.13.2012,Suralaga,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
162,84314,Brang Bara,52.04.08.1002,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
163,84318,Brang Biji,52.04.08.1007,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
164,84313,Bugis,52.04.08.1005,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
165,84312,Lempeh,52.04.08.1006,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
166,84315,Pekat,52.04.08.1003,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
167,84316,Samapuin,52.04.08.1001,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
168,84311,Seketeng,52.04.08.1004,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
169,84317,Uma Sima,52.04.08.1008,Sumbawa,Kabupaten,Sumbawa,Nusa Tenggara Barat (NTB)
170,83652,Dasan Lekong,52.03.06.2004,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
171,83652,Jantuk,52.03.06.2002,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
172,83652,Nyiur Tebel,52.03.06.2008,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
173,83652,Padamara,52.03.06.2003,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
174,83652,Paok Pampang,52.03.06.2006,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
175,83652,Setanggor,52.03.06.2001,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
176,83652,Setanggor Selatan,52.03.06.2009,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
177,83652,Sukamulia,52.03.06.2005,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
178,83652,Sukamulia Timur,52.03.06.2007,Sukamulia,Kabupaten,Lombok Timur,Nusa Tenggara Barat (NTB)
