no,postal_code,urban,area_code,sub_district,dt2,city,province
1,87183,Hadakamali,53.11.11.2002,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
2,87183,Lainjanji,53.11.11.2005,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
3,87183,Laipandak,53.11.11.2006,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
4,87183,Latena (La Tena),53.11.11.2004,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
5,87183,Lumbu Manggit,53.11.11.2003,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
6,87183,Paranda,53.11.11.2008,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
7,87183,Wulla (Wula),53.11.11.2001,Wulla Waijelu (Wula Waijelu),Kabupaten,Sumba Timur,Nusa Tenggara Timur (NTT)
8,86256,Boru,53.06.01.2008,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
9,86256,Boru Kedang,53.06.01.2014,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
10,86256,Hewa,53.06.01.2002,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
11,86256,Hokeng Jaya,53.06.01.2012,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
12,86256,Klatanlo,53.06.01.2021,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
13,86256,Nawokote,53.06.01.2007,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
14,86256,Nileknoheng,53.06.01.2011,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
15,86256,Ojandetun,53.06.01.2001,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
16,86256,Pantai Oa,53.06.01.2013,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
17,86256,Pululera,53.06.01.2009,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
18,86256,Waiula,53.06.01.2003,Wulanggitang,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
19,86686,Alap Atadei,53.13.08.2001,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
20,86686,Ataili,53.13.08.2014,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
21,86686,Atakera,53.13.08.2002,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
22,86686,Belobao,53.13.08.2011,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
23,86686,Imu Lolong (Imulolong),53.13.08.2006,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
24,86686,Lamalera A,53.13.08.2008,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
25,86686,Lamalera B,53.13.08.2007,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
26,86686,Lelata,53.13.08.2009,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
27,86686,Leworaja,53.13.08.2003,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
28,86686,Pantai Harapan,53.13.08.2004,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
29,86686,Posiwatu,53.13.08.2012,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
30,86686,Puor,53.13.08.2005,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
31,86686,Puor B,53.13.08.2013,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
32,86686,Tapobali,53.13.08.2015,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
33,86686,Wulandoni,53.13.08.2010,Wulandoni,Kabupaten,Lembata,Nusa Tenggara Timur (NTT)
34,86260,Bliko,53.06.09.2008,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
35,86260,Demondei,53.06.09.2013,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
36,86260,Kawela,53.06.09.2005,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
37,86260,Klukengnuking,53.06.09.2006,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
38,86260,Nayubaya,53.06.09.2003,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
39,86260,Oyangbarang,53.06.09.2004,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
40,86260,Pandai,53.06.09.2007,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
41,86260,Samsoge,53.06.09.2009,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
42,86260,Tana Tukan,53.06.09.2012,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
43,86260,Tobilota,53.06.09.2011,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
44,86260,Wailebe,53.06.09.2001,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
45,86260,Wotanulumado,53.06.09.2002,Wotan Ulumando,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
46,86373,Bokasape,53.08.08.1001,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
47,86373,Bokasape Timur,53.08.08.2002,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
48,86373,Jopu,53.08.08.2012,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
49,86373,Likanaka,53.08.08.2020,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
50,86373,Lise Pu'u,53.08.08.2024,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
51,86373,Lisedetu,53.08.08.2016,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
52,86373,Liselowobora (Lise Lowobora),53.08.08.2019,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
53,86373,Mbuliloo (Mbuli Loo),53.08.08.2010,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
54,86373,Mbuliwaralau,53.08.08.2014,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
55,86373,Mbuliwaralau Utara,53.08.08.2015,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
56,86373,Nakambara,53.08.08.2021,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
57,86373,Niramesi (Niromesi),53.08.08.2022,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
58,86373,Nualise,53.08.08.2017,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
59,86373,Rindiwawo,53.08.08.2011,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
60,86373,Tana Lo'o,53.08.08.2023,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
61,86373,Wolokoli,53.08.08.2013,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
62,86373,Wolosoko,53.08.08.2018,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
63,86471,Anakoli,53.16.05.2004,Wolowae,Kabupaten,Nagekeo,Nusa Tenggara Timur (NTT)
64,86471,Natatoto,53.16.05.2005,Wolowae,Kabupaten,Nagekeo,Nusa Tenggara Timur (NTT)
65,86471,Tendakinde (Tenda Kinde),53.16.05.2003,Wolowae,Kabupaten,Nagekeo,Nusa Tenggara Timur (NTT)
66,86471,Tendatoto,53.16.05.2001,Wolowae,Kabupaten,Nagekeo,Nusa Tenggara Timur (NTT)
67,86471,Totomala,53.16.05.2002,Wolowae,Kabupaten,Nagekeo,Nusa Tenggara Timur (NTT)
68,86423,Denatana,53.09.16.2002,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
69,86423,Denatana Timur,53.09.16.2008,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
70,86423,Larilaki,53.09.16.2009,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
71,86423,Mainai,53.09.16.2003,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
72,86423,Mulumese,53.09.16.2010,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
73,86423,Nginamanu,53.09.16.2001,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
74,86423,Nginamanu Barat,53.09.16.2006,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
75,86423,Nginamanu Selatan,53.09.16.2005,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
76,86423,Turaloa,53.09.16.2004,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
77,86423,Turaloa Timur,53.09.16.2011,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
78,86423,Wue,53.09.16.2007,Wolomeze (Riung Selatan),Kabupaten,Ngada,Nusa Tenggara Timur (NTT)
79,86382,Nggela,53.08.09.2006,Wolojita,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
80,86382,Nuamulu,53.08.09.2005,Wolojita,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
81,86382,Pora,53.08.09.2004,Wolojita,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
82,86382,Tenda,53.08.09.2002,Wolojita,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
83,86382,Wiwipemo,53.08.09.2003,Wolojita,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
84,86382,Wolojita,53.08.09.1001,Wolojita,Kabupaten,Ende,Nusa Tenggara Timur (NTT)
85,86266,Balaweling,53.06.12.2010,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
86,86266,Balaweling Noten,53.06.12.2016,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
87,86266,Baobage,53.06.12.2014,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
88,86266,Lamabelawa (Lamablawa),53.06.12.2006,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
89,86266,Lamaleka,53.06.12.2015,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
90,86266,Lewopulo,53.06.12.2008,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
91,86266,Oringbele,53.06.12.2004,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
92,86266,Pledo,53.06.12.2007,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
93,86266,Riangduli,53.06.12.2012,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
94,86266,Sandosi,53.06.12.2009,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
95,86266,Tobitika,53.06.12.2011,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
96,86266,Tuagoetobi (Tuwagoetobi),53.06.12.2002,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
97,86266,Waiwuring,53.06.12.2013,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
98,86266,Watololong,53.06.12.2001,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
99,86266,Watoone,53.06.12.2005,Witihama,Kabupaten,Flores Timur,Nusa Tenggara Timur (NTT)
