no,postal_code,urban,area_code,sub_district,dt2,city,province
1,98379,Baun,92.09.03.2001,Yembun,Kabupaten,Tambrauw,Papua Barat Daya
2,98379,Metbelum,92.09.03.2007,Yembun,Kabupaten,Tambrauw,Papua Barat Daya
3,98378,Metbesa,92.09.03.2013,Yembun,Kabupaten,Tambrauw,Papua Barat Daya
4,98379,Metnayam,92.09.03.2003,Yembun,Kabupaten,Tambrauw,Papua Barat Daya
5,98379,Salem,92.09.03.2012,Yembun,Kabupaten,Tambrauw,Papua Barat Daya
6,98379,Sumbekas,92.09.03.2002,Yembun,Kabupaten,Tambrauw,Papua Barat Daya
7,98377,Araf Mafat,92.09.19.2003,Wilhem Roumbouts,Kabupaten,Tambrauw,Papua Barat Daya
8,98377,Esyuom,92.09.19.2004,Wilhem Roumbouts,Kabupaten,Tambrauw,Papua Barat Daya
9,98377,Sayam,92.09.19.2002,Wilhem Roumbouts,Kabupaten,Tambrauw,Papua Barat Daya
10,98377,Tabamsere,92.09.19.2001,Wilhem Roumbouts,Kabupaten,Tambrauw,Papua Barat Daya
11,98455,Kamlin,92.01.45.2006,Wemak,Kabupaten,Sorong,Papua Barat Daya
12,98455,Klalin Mos,92.01.45.2004,Wemak,Kabupaten,Sorong,Papua Barat Daya
13,98455,Klawaren (Klawren),92.01.45.2002,Wemak,Kabupaten,Sorong,Papua Barat Daya
14,98455,Kwari,92.01.45.2005,Wemak,Kabupaten,Sorong,Papua Barat Daya
15,98455,Saluk,92.01.45.2001,Wemak,Kabupaten,Sorong,Papua Barat Daya
16,98455,Woloin,92.01.45.2003,Wemak,Kabupaten,Sorong,Papua Barat Daya
17,98215,Bagraga (Bagaraga),92.04.12.2006,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
18,98215,Baldon (Boldon),92.04.12.2003,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
19,98215,Sesor,92.04.12.2004,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
20,98215,Sungguer,92.04.12.2001,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
21,98215,Unggi (Ungi),92.04.12.2002,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
22,98215,Waigo,92.04.12.2005,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
23,98215,Wardik,92.04.12.2007,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
24,98215,Wayer,92.04.12.2008,Wayer,Kabupaten,Sorong Selatan,Papua Barat Daya
25,98467,Boni,92.05.14.2003,Warwarbomi,Kabupaten,Raja Ampat,Papua Barat Daya
26,98467,Mnier,92.05.14.2002,Warwarbomi,Kabupaten,Raja Ampat,Papua Barat Daya
27,98467,Warkori,92.05.14.2004,Warwarbomi,Kabupaten,Raja Ampat,Papua Barat Daya
28,98467,Warmanai,92.05.14.2001,Warwarbomi,Kabupaten,Raja Ampat,Papua Barat Daya
29,98466,Andey,92.05.02.2010,Waigeo Utara,Kabupaten,Raja Ampat,Papua Barat Daya
30,98466,Asukweri,92.05.02.2011,Waigeo Utara,Kabupaten,Raja Ampat,Papua Barat Daya
31,98466,Bonsayor,92.05.02.2013,Waigeo Utara,Kabupaten,Raja Ampat,Papua Barat Daya
32,98466,Darumbab,92.05.02.2014,Waigeo Utara,Kabupaten,Raja Ampat,Papua Barat Daya
33,98466,Kabare,92.05.02.2003,Waigeo Utara,Kabupaten,Raja Ampat,Papua Barat Daya
34,98466,Kalisade,92.05.02.2015,Waigeo Utara,Kabupaten,Raja Ampat,Papua Barat Daya
35,98476,Puper,92.05.08.2001,Waigeo Timur,Kabupaten,Raja Ampat,Papua Barat Daya
36,98476,Urbinasopen,92.05.08.2003,Waigeo Timur,Kabupaten,Raja Ampat,Papua Barat Daya
37,98476,Yenbekaki (Yembekaki),92.05.08.2002,Waigeo Timur,Kabupaten,Raja Ampat,Papua Barat Daya
38,98476,Yensener (Yesner),92.05.08.2004,Waigeo Timur,Kabupaten,Raja Ampat,Papua Barat Daya
39,98475,Friwen,92.05.03.2016,Waigeo Selatan,Kabupaten,Raja Ampat,Papua Barat Daya
40,98475,Saonek,92.05.03.2004,Waigeo Selatan,Kabupaten,Raja Ampat,Papua Barat Daya
41,98475,Saporkren,92.05.03.2014,Waigeo Selatan,Kabupaten,Raja Ampat,Papua Barat Daya
42,98475,Wawiyai,92.05.03.2017,Waigeo Selatan,Kabupaten,Raja Ampat,Papua Barat Daya
43,98475,Yenbeser,92.05.03.2015,Waigeo Selatan,Kabupaten,Raja Ampat,Papua Barat Daya
44,98465,Gag,92.05.15.2005,Waigeo Barat Kepulauan,Kabupaten,Raja Ampat,Papua Barat Daya
45,98465,Manyaifun,92.05.15.2001,Waigeo Barat Kepulauan,Kabupaten,Raja Ampat,Papua Barat Daya
46,98465,Meosmanggara,92.05.15.2002,Waigeo Barat Kepulauan,Kabupaten,Raja Ampat,Papua Barat Daya
47,98465,Pam,92.05.15.2003,Waigeo Barat Kepulauan,Kabupaten,Raja Ampat,Papua Barat Daya
48,98465,Saukabu,92.05.15.2004,Waigeo Barat Kepulauan,Kabupaten,Raja Ampat,Papua Barat Daya
49,98465,Saupapir,92.05.15.2006,Waigeo Barat Kepulauan,Kabupaten,Raja Ampat,Papua Barat Daya
50,98464,Bianci,92.05.07.2007,Waigeo Barat,Kabupaten,Raja Ampat,Papua Barat Daya
51,98464,Mutus,92.05.07.2005,Waigeo Barat,Kabupaten,Raja Ampat,Papua Barat Daya
52,98464,Saleo,92.05.07.2011,Waigeo Barat,Kabupaten,Raja Ampat,Papua Barat Daya
