no,postal_code,urban,area_code,sub_district,dt2,city,province
1,98122,Hairapara,92.08.07.2005,Yamor,Kabupaten,Kaimana,Papua Barat
2,98122,Omba Pamuku,92.08.07.2006,Yamor,Kabupaten,Kaimana,Papua Barat
3,98122,Ure (Mury/Uray),92.08.07.2001,Yamor,Kabupaten,Kaimana,Papua Barat
4,98122,Urubika,92.08.07.2003,Yamor,Kabupaten,Kaimana,Papua Barat
5,98122,Wagoha (Wagioha),92.08.07.2004,Yamor,Kabupaten,Kaimana,Papua Barat
6,98122,Wosokuno,92.08.07.2002,Yamor,Kabupaten,Kaimana,Papua Barat
7,98347,Issui,92.07.04.2010,Wondiboy,Kabupaten,Teluk Wondama,Papua Barat
8,98347,Kabouw,92.07.04.2009,Wondiboy,Kabupaten,Teluk Wondama,Papua Barat
9,98347,Kaibi,92.07.04.2015,Wondiboy,Kabupaten,Teluk Wondama,Papua Barat
10,98347,Wondiboy,92.07.04.2002,Wondiboy,Kabupaten,Teluk Wondama,Papua Barat
11,98336,Sandey,92.07.02.2010,Windesi,Kabupaten,Teluk Wondama,Papua Barat
12,98336,Sombokoro,92.07.02.2004,Windesi,Kabupaten,Teluk Wondama,Papua Barat
13,98336,Wamesa Tengah,92.07.02.2001,Windesi,Kabupaten,Teluk Wondama,Papua Barat
14,98336,Windesi,92.07.02.2007,Windesi,Kabupaten,Teluk Wondama,Papua Barat
15,98336,Yopmeos (Yopmios),92.07.02.2002,Windesi,Kabupaten,Teluk Wondama,Papua Barat
16,98157,Mogotira (Mogmesa),92.06.21.2002,Weriagar,Kabupaten,Teluk Bintuni,Papua Barat
17,98157,Tuanaikin,92.06.21.2005,Weriagar,Kabupaten,Teluk Bintuni,Papua Barat
18,98157,Weriagar,92.06.21.2001,Weriagar,Kabupaten,Teluk Bintuni,Papua Barat
19,98157,Weriagar Baru,92.06.21.2003,Weriagar,Kabupaten,Teluk Bintuni,Papua Barat
20,98157,Weriagar Utara,92.06.21.2004,Weriagar,Kabupaten,Teluk Bintuni,Papua Barat
21,98346,Dotir,92.07.01.2003,Wasior,Kabupaten,Teluk Wondama,Papua Barat
22,98346,Iriati,92.07.01.2011,Wasior,Kabupaten,Teluk Wondama,Papua Barat
23,98346,Maimare (Maimari),92.07.01.2006,Wasior,Kabupaten,Teluk Wondama,Papua Barat
24,98346,Maniwak,92.07.01.2004,Wasior,Kabupaten,Teluk Wondama,Papua Barat
25,98346,Manopi,92.07.01.2009,Wasior,Kabupaten,Teluk Wondama,Papua Barat
26,98346,Moru (Gayabaru),92.07.01.2007,Wasior,Kabupaten,Teluk Wondama,Papua Barat
27,98346,Rado,92.07.01.2002,Wasior,Kabupaten,Teluk Wondama,Papua Barat
28,98346,Ramiki,92.07.01.2010,Wasior,Kabupaten,Teluk Wondama,Papua Barat
29,98346,Wasior I,92.07.01.1001,Wasior,Kabupaten,Teluk Wondama,Papua Barat
30,98346,Wasior II,92.07.01.2005,Wasior,Kabupaten,Teluk Wondama,Papua Barat
31,98025,Kamandur Tetar,92.03.11.2006,Wartutin,Kabupaten,Fak Fak,Papua Barat
32,98025,Siboru,92.03.11.2004,Wartutin,Kabupaten,Fak Fak,Papua Barat
33,98025,Sipatnanam,92.03.11.2005,Wartutin,Kabupaten,Fak Fak,Papua Barat
34,98025,Wartutin,92.03.11.2003,Wartutin,Kabupaten,Fak Fak,Papua Barat
35,98025,Werabuan,92.03.11.2002,Wartutin,Kabupaten,Fak Fak,Papua Barat
36,98025,Werpigan,92.03.11.2001,Wartutin,Kabupaten,Fak Fak,Papua Barat
37,98317,Aiwou (Aywou),92.02.03.2025,Warmare,Kabupaten,Manokwari,Papua Barat
38,98317,Amber,92.02.03.2020,Warmare,Kabupaten,Manokwari,Papua Barat
39,98317,Asarbey (Asarbei),92.02.03.2026,Warmare,Kabupaten,Manokwari,Papua Barat
40,98317,Bahamyenti,92.02.03.2028,Warmare,Kabupaten,Manokwari,Papua Barat
41,98317,Dindey,92.02.03.2001,Warmare,Kabupaten,Manokwari,Papua Barat
42,98317,Duweibey (Dueibei),92.02.03.2031,Warmare,Kabupaten,Manokwari,Papua Barat
43,98317,Duwin,92.02.03.2015,Warmare,Kabupaten,Manokwari,Papua Barat
44,98317,Figoud,92.02.03.2029,Warmare,Kabupaten,Manokwari,Papua Barat
45,98317,Guentuy,92.02.03.2012,Warmare,Kabupaten,Manokwari,Papua Barat
46,98317,Hingk,92.02.03.2003,Warmare,Kabupaten,Manokwari,Papua Barat
47,98317,Iboisrati,92.02.03.2017,Warmare,Kabupaten,Manokwari,Papua Barat
48,98317,Ibuwau,92.02.03.2016,Warmare,Kabupaten,Manokwari,Papua Barat
49,98317,Indisey,92.02.03.2002,Warmare,Kabupaten,Manokwari,Papua Barat
50,98317,Indonbey (Indondey),92.02.03.2023,Warmare,Kabupaten,Manokwari,Papua Barat
51,98317,Kipuwau (Kibauw),92.02.03.2030,Warmare,Kabupaten,Manokwari,Papua Barat
52,98317,Kwau,92.02.03.2021,Warmare,Kabupaten,Manokwari,Papua Barat
53,98317,Madrat,92.02.03.2010,Warmare,Kabupaten,Manokwari,Papua Barat
54,98317,Meny,92.02.03.2006,Warmare,Kabupaten,Manokwari,Papua Barat
55,98317,Mingre,92.02.03.2024,Warmare,Kabupaten,Manokwari,Papua Barat
56,98317,Minoqbei (Minogbei),92.02.03.2027,Warmare,Kabupaten,Manokwari,Papua Barat
57,98317,Mokwam,92.02.03.2019,Warmare,Kabupaten,Manokwari,Papua Barat
