no,postal_code,urban,area_code,sub_district,dt2,city,province
1,98979,Agenggen,94.05.17.2002,Yugumuak,Kabupaten,Puncak,Papua Tengah
2,98979,Jerusalem,94.05.17.2009,Yugumuak,Kabupaten,Puncak,Papua Tengah
3,98979,Lambera,94.05.17.2005,Yugumuak,Kabupaten,Puncak,Papua Tengah
4,98979,Manggame,94.05.17.2008,Yugumuak,Kabupaten,Puncak,Papua Tengah
5,98979,Mugalolo,94.05.17.2007,Yugumuak,Kabupaten,Puncak,Papua Tengah
6,98979,Pamebut,94.05.17.2001,Yugumuak,Kabupaten,Puncak,Papua Tengah
7,98979,Wilewak,94.05.17.2004,Yugumuak,Kabupaten,Puncak,Papua Tengah
8,98979,Wiyabubu,94.05.17.2010,Yugumuak,Kabupaten,Puncak,Papua Tengah
9,98979,Wobulo,94.05.17.2006,Yugumuak,Kabupaten,Puncak,Papua Tengah
10,98979,Yugumuak,94.05.17.2003,Yugumuak,Kabupaten,Puncak,Papua Tengah
11,98737,Dokoneida,94.03.18.2005,Youtadi,Kabupaten,Paniai,Papua Tengah
12,98737,Ipouwa,94.03.18.2003,Youtadi,Kabupaten,Paniai,Papua Tengah
13,98737,Munaiyepa,94.03.18.2004,Youtadi,Kabupaten,Paniai,Papua Tengah
14,98737,Namutadi,94.03.18.2006,Youtadi,Kabupaten,Paniai,Papua Tengah
15,98737,Uwagi,94.03.18.2002,Youtadi,Kabupaten,Paniai,Papua Tengah
16,98737,Youtadi,94.03.18.2001,Youtadi,Kabupaten,Paniai,Papua Tengah
17,98852,Akudiomi (Akuidiomi),94.01.03.2002,Yaur,Kabupaten,Nabire,Papua Tengah
18,98852,Sima,94.01.03.2004,Yaur,Kabupaten,Nabire,Papua Tengah
19,98852,Wami (Wamijaya),94.01.03.2008,Yaur,Kabupaten,Nabire,Papua Tengah
20,98852,Yaur,94.01.03.2001,Yaur,Kabupaten,Nabire,Papua Tengah
21,98726,Dimiya,94.03.09.2004,Yatamo,Kabupaten,Paniai,Papua Tengah
22,98726,Keniapa,94.03.09.2002,Yatamo,Kabupaten,Paniai,Papua Tengah
23,98726,Memiyaibutu,94.03.09.2003,Yatamo,Kabupaten,Paniai,Papua Tengah
24,98726,Udaugi,94.03.09.2005,Yatamo,Kabupaten,Paniai,Papua Tengah
25,98726,Wotai,94.03.09.2001,Yatamo,Kabupaten,Paniai,Papua Tengah
26,98853,Bomopai,94.01.10.2007,Yaro,Kabupaten,Nabire,Papua Tengah
27,98853,Jaya Mukti,94.01.10.2004,Yaro,Kabupaten,Nabire,Papua Tengah
28,98853,Ororodo,94.01.10.2006,Yaro,Kabupaten,Nabire,Papua Tengah
29,98853,Parauto,94.01.10.2008,Yaro,Kabupaten,Nabire,Papua Tengah
30,98853,Wanggar Pantai,94.01.10.2005,Yaro,Kabupaten,Nabire,Papua Tengah
31,98853,Wanggar Sari,94.01.10.2001,Yaro,Kabupaten,Nabire,Papua Tengah
32,98853,Wiraska,94.01.10.2002,Yaro,Kabupaten,Nabire,Papua Tengah
33,98853,Yaro Makmur,94.01.10.2003,Yaro,Kabupaten,Nabire,Papua Tengah
34,98937,Amberiambut,94.02.20.2001,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
35,98937,Bunume,94.02.20.2011,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
36,98937,Digolome,94.02.20.2010,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
37,98937,Gumawi,94.02.20.2009,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
38,98937,Jembeneri,94.02.20.2013,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
39,98937,Jibonok,94.02.20.2016,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
40,98937,Jigelo,94.02.20.2014,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
41,98937,Jiguluk,94.02.20.2007,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
42,98937,Jimbanime,94.02.20.2006,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
43,98937,Kobarak,94.02.20.2002,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
44,98937,Moulo,94.02.20.2005,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
45,98937,Ngginigum,94.02.20.2012,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
46,98937,Piyapigi,94.02.20.2015,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
47,98937,Wugiwagi,94.02.20.2003,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
48,98937,Yagaluk,94.02.20.2004,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
49,98937,Yamoneri,94.02.20.2008,Yamoneri,Kabupaten,Puncak Jaya,Papua Tengah
50,98925,Binime,94.02.05.2007,Yamo,Kabupaten,Puncak Jaya,Papua Tengah
51,98925,Gibaga,94.02.05.2021,Yamo,Kabupaten,Puncak Jaya,Papua Tengah
52,98925,Goyage,94.02.05.2009,Yamo,Kabupaten,Puncak Jaya,Papua Tengah
53,98925,Kabilimbut,94.02.05.2010,Yamo,Kabupaten,Puncak Jaya,Papua Tengah
