no,postal_code,urban,area_code,sub_district,dt2,city,province
1,28454,Balung,14.01.04.2006,XIII Koto Kampar,Kabupaten,Kampar,Riau
2,28454,Batu Bersurat,14.01.04.1018,XIII Koto Kampar,Kabupaten,Kampar,Riau
3,28454,Binamang,14.01.04.2017,XIII Koto Kampar,Kabupaten,Kampar,Riau
4,28454,Gunung Bungsu,14.01.04.2004,XIII Koto Kampar,Kabupaten,Kampar,Riau
5,28454,Koto Mesjid,14.01.04.2014,XIII Koto Kampar,Kabupaten,Kampar,Riau
6,28454,Koto Tuo,14.01.04.2005,XIII Koto Kampar,Kabupaten,Kampar,Riau
7,28454,Koto Tuo Barat,14.01.04.2019,XIII Koto Kampar,Kabupaten,Kampar,Riau
8,28454,Lubuk Agung,14.01.04.2013,XIII Koto Kampar,Kabupaten,Kampar,Riau
9,28454,Muara Takus,14.01.04.2007,XIII Koto Kampar,Kabupaten,Kampar,Riau
10,28454,Pongkai Istiqomah,14.01.04.2016,XIII Koto Kampar,Kabupaten,Kampar,Riau
11,28454,Pulau Gadang,14.01.04.2010,XIII Koto Kampar,Kabupaten,Kampar,Riau
12,28454,Ranah Sungkai,14.01.04.2012,XIII Koto Kampar,Kabupaten,Kampar,Riau
13,28454,Tanjung Alai,14.01.04.2011,XIII Koto Kampar,Kabupaten,Kampar,Riau
14,28388,Air Emas,14.05.01.2002,Ukui,Kabupaten,Pelalawan,Riau
15,28388,Air Hitam,14.05.01.2001,Ukui,Kabupaten,Pelalawan,Riau
16,28388,Bagan Limau,14.05.01.2012,Ukui,Kabupaten,Pelalawan,Riau
17,28388,Bukit Gajah,14.05.01.2003,Ukui,Kabupaten,Pelalawan,Riau
18,28388,Bukit Jaya,14.05.01.2004,Ukui,Kabupaten,Pelalawan,Riau
19,28388,Kampung Baru,14.05.01.2005,Ukui,Kabupaten,Pelalawan,Riau
20,28388,Lubuk Kembang Bunga,14.05.01.2006,Ukui,Kabupaten,Pelalawan,Riau
21,28388,Lubuk Kembang Sari,14.05.01.2007,Ukui,Kabupaten,Pelalawan,Riau
22,28388,Silikuan Hulu,14.05.01.2008,Ukui,Kabupaten,Pelalawan,Riau
23,28388,Tri Mulya Jaya,14.05.01.2009,Ukui,Kabupaten,Pelalawan,Riau
24,28388,Ukui I (Satu),14.05.01.1010,Ukui,Kabupaten,Pelalawan,Riau
25,28388,Ukui II (Dua),14.05.01.2011,Ukui,Kabupaten,Pelalawan,Riau
26,28553,Ngaso,14.06.01.2003,Ujung Batu,Kabupaten,Rokan Hulu,Riau
27,28553,Pematang Tebih,14.06.01.2005,Ujung Batu,Kabupaten,Rokan Hulu,Riau
28,28553,Suka Damai,14.06.01.2002,Ujung Batu,Kabupaten,Rokan Hulu,Riau
29,28553,Ujung Batu,14.06.01.1001,Ujung Batu,Kabupaten,Rokan Hulu,Riau
30,28553,Ujung Batu Timur,14.06.01.2004,Ujung Batu,Kabupaten,Rokan Hulu,Riau
31,28772,Meredan,14.08.04.2004,Tualang,Kabupaten,Siak,Riau
32,28772,Meredan Barat,14.08.04.2007,Tualang,Kabupaten,Siak,Riau
33,28772,Perawang,14.08.04.1001,Tualang,Kabupaten,Siak,Riau
34,28772,Perawang Barat,14.08.04.2008,Tualang,Kabupaten,Siak,Riau
35,28772,Pinang Sebatang,14.08.04.2003,Tualang,Kabupaten,Siak,Riau
36,28772,Pinang Sebatang Barat,14.08.04.2006,Tualang,Kabupaten,Siak,Riau
37,28772,Pinang Sebatang Timur,14.08.04.2005,Tualang,Kabupaten,Siak,Riau
38,28772,Tualang,14.08.04.2002,Tualang,Kabupaten,Siak,Riau
39,28772,Tualang Timur,14.08.04.2009,Tualang,Kabupaten,Siak,Riau
40,28296,Airputih,14.71.13.1005,Tuahmadani,Kota,Pekanbaru,Riau
41,28299,Sialangmunggu,14.71.13.1002,Tuahmadani,Kota,Pekanbaru,Riau
42,28294,Sidomulyo Barat,14.71.13.1001,Tuahmadani,Kota,Pekanbaru,Riau
43,28291,Tuahkarya (Tuah Karya),14.71.13.1003,Tuahmadani,Kota,Pekanbaru,Riau
44,28298,Tuahmadani,14.71.13.1004,Tuahmadani,Kota,Pekanbaru,Riau
45,28281,Bambukuning,14.71.10.1005,Tenayan Raya,Kota,Pekanbaru,Riau
46,28285,Bencahlesung,14.71.10.1002,Tenayan Raya,Kota,Pekanbaru,Riau
47,28285,Industritenayan,14.71.10.1011,Tenayan Raya,Kota,Pekanbaru,Riau
48,28285,Melebung,14.71.10.1010,Tenayan Raya,Kota,Pekanbaru,Riau
49,28281,Rejosari,14.71.10.1004,Tenayan Raya,Kota,Pekanbaru,Riau
50,28285,Sialangsakti,14.71.10.1012,Tenayan Raya,Kota,Pekanbaru,Riau
51,28289,Tangkerang Timur,14.71.10.1003,Tenayan Raya,Kota,Pekanbaru,Riau
52,28285,Tuahnegeri,14.71.10.1013,Tenayan Raya,Kota,Pekanbaru,Riau
53,29262,Harapan Jaya,14.04.05.2011,Tempuling,Kabupaten,Indragiri Hilir,Riau
54,29262,Karya Tunas Jaya,14.04.05.2009,Tempuling,Kabupaten,Indragiri Hilir,Riau
55,29262,Mumpa,14.04.05.2003,Tempuling,Kabupaten,Indragiri Hilir,Riau
56,29262,Pangkalan Tujuh,14.04.05.1017,Tempuling,Kabupaten,Indragiri Hilir,Riau
57,29262,Sungaisalak (Sungai Salak),14.04.05.1004,Tempuling,Kabupaten,Indragiri Hilir,Riau
58,29262,Tanjungpidada (Tanjung Pidada),14.04.05.1016,Tempuling,Kabupaten,Indragiri Hilir,Riau
59,29262,Telukjira (Teluk Jira),14.04.05.2007,Tempuling,Kabupaten,Indragiri Hilir,Riau
60,29262,Telukkiambang (Teluk Kiambang),14.04.05.2002,Tempuling,Kabupaten,Indragiri Hilir,Riau
61,29262,Tempuling Jaya (Tempuling),14.04.05.1005,Tempuling,Kabupaten,Indragiri Hilir,Riau
62,29213,Pekan Kamis,14.04.13.2002,Tembilahan Hulu,Kabupaten,Indragiri Hilir,Riau
63,29213,Pulaupalas (Pulau Palas),14.04.13.2003,Tembilahan Hulu,Kabupaten,Indragiri Hilir,Riau
64,29213,Sialang Panjang,14.04.13.2004,Tembilahan Hulu,Kabupaten,Indragiri Hilir,Riau
65,29213,Sungaiintan (Sungai Intan),14.04.13.2006,Tembilahan Hulu,Kabupaten,Indragiri Hilir,Riau
66,29213,Tembilahan Barat,14.04.13.1005,Tembilahan Hulu,Kabupaten,Indragiri Hilir,Riau
67,29213,Tembilahan Hulu,14.04.13.1001,Tembilahan Hulu,Kabupaten,Indragiri Hilir,Riau
68,29212,Pekan Arba,14.04.04.1006,Tembilahan,Kabupaten,Indragiri Hilir,Riau
69,29212,Seberang Tembilahan,14.04.04.1003,Tembilahan,Kabupaten,Indragiri Hilir,Riau
70,29212,Seberang Tembilahan Barat,14.04.04.1007,Tembilahan,Kabupaten,Indragiri Hilir,Riau
71,29212,Seberang Tembilahan Selatan,14.04.04.1008,Tembilahan,Kabupaten,Indragiri Hilir,Riau
72,29214,Sungaiberingin (Sungai Beringin),14.04.04.1005,Tembilahan,Kabupaten,Indragiri Hilir,Riau
73,29212,Sungaiperak (Sungai Perak),14.04.04.1004,Tembilahan,Kabupaten,Indragiri Hilir,Riau
74,29211,Tembilahan Hilir,14.04.04.1002,Tembilahan,Kabupaten,Indragiri Hilir,Riau
75,29212,Tembilahan Kota,14.04.04.1001,Tembilahan,Kabupaten,Indragiri Hilir,Riau
76,28354,Gambut Mutiara,14.05.09.2006,Teluk Meranti,Kabupaten,Pelalawan,Riau
77,28354,Kuala Panduk,14.05.09.2002,Teluk Meranti,Kabupaten,Pelalawan,Riau
78,28354,Labuhan Bilik,14.05.09.2007,Teluk Meranti,Kabupaten,Pelalawan,Riau
79,28354,Pangkalan Terap,14.05.09.2008,Teluk Meranti,Kabupaten,Pelalawan,Riau
80,28354,Petodaan,14.05.09.2003,Teluk Meranti,Kabupaten,Pelalawan,Riau
81,28354,Pulau Muda,14.05.09.2005,Teluk Meranti,Kabupaten,Pelalawan,Riau
82,28354,Segamai,14.05.09.2009,Teluk Meranti,Kabupaten,Pelalawan,Riau
83,28354,Teluk Binjai,14.05.09.2004,Teluk Meranti,Kabupaten,Pelalawan,Riau
84,28354,Teluk Meranti,14.05.09.1001,Teluk Meranti,Kabupaten,Pelalawan,Riau
85,29258,Beringin Mulia (Beringin Mulya),14.04.16.2005,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
86,29258,Gembaran,14.04.16.2013,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
87,29258,Griya Mukti Jaya,14.04.16.2004,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
88,29258,Hibrida Jaya,14.04.16.2006,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
89,29258,Hibrida Mulia (Hibrida Mulya),14.04.16.2001,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
90,29258,Indra Sari Jaya,14.04.16.2002,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
91,29258,Kelapa Patih Jaya,14.04.16.2010,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
92,29258,Saka Rotan,14.04.16.2012,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
93,29258,Sapta Mulia Jaya (Sapta Mulya Jaya),14.04.16.2011,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
94,29258,Sumber Jaya,14.04.16.2007,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
95,29258,Sumber Makmur Jaya,14.04.16.2008,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
96,29258,Sumber Sari Jaya,14.04.16.2009,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
97,29258,Tunggal Rahayu Jaya,14.04.16.2003,Teluk Belengkong,Kabupaten,Indragiri Hilir,Riau
98,28754,Batin Suir,14.10.07.2010,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
99,28754,Kepau Baru,14.10.07.2007,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
100,28754,Lukun,14.10.07.2001,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
101,28754,Nipah Sendanu,14.10.07.2003,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
102,28754,Sendanu Darul Ihsan,14.10.07.2009,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
103,28754,Sungai Tohor,14.10.07.2002,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
104,28754,Sungai Tohor Barat,14.10.07.2008,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
105,28754,Tanjung Gadai,14.10.07.2005,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
106,28754,Tanjung Sari,14.10.07.2004,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
107,28754,Teluk Buntal,14.10.07.2006,Tebing Tinggi Timur,Kabupaten,Kepulauan Meranti,Riau
108,28758,Alai,14.10.04.2001,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
109,28758,Alai Selatan,14.10.04.2013,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
110,28758,Batang Malas,14.10.04.2008,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
111,28758,Gogok Darussalam,14.10.04.2010,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
112,28758,Insit,14.10.04.2003,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
113,28758,Kundur,14.10.04.2006,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
114,28758,Maini Darul Aman,14.10.04.2011,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
115,28758,Mantiasa,14.10.04.2009,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
116,28758,Mekong,14.10.04.2007,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
117,28758,Mengkikip,14.10.04.2012,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
118,28758,Tanjung,14.10.04.2004,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
119,28758,Tanjung Darul Takzim,14.10.04.2014,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
120,28758,Tanjung Peranap,14.10.04.2005,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
121,28758,Tenan,14.10.04.2002,Tebing Tinggi Barat,Kabupaten,Kepulauan Meranti,Riau
122,28753,Alah Air,14.10.01.2006,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
123,28753,Alah Air Timur,14.10.01.2007,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
124,28753,Banglas,14.10.01.2005,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
125,28753,Banglas Barat,14.10.01.2016,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
126,28753,Selatpanjang Barat,14.10.01.1002,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
127,28753,Selatpanjang Kota,14.10.01.1001,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
128,28753,Selatpanjang Selatan,14.10.01.1003,Tebing Tinggi,Kabupaten,Kepulauan Meranti,Riau
