no,postal_code,urban,area_code,sub_district,dt2,city,province
1,92971,Arolipu,73.24.06.2017,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
2,92971,Bahari,73.24.06.2009,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
3,92971,Balo-Balo (Balobalo),73.24.06.2012,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
4,92971,Bawalipu,73.24.06.2005,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
5,92971,Cendana Hijau,73.24.06.2004,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
6,92971,Kalaena,73.24.06.2006,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
7,92971,Kanawatu,73.24.06.2008,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
8,92971,Karambua (Korombua),73.24.06.2010,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
9,92971,Lampenai,73.24.06.2001,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
10,92971,Lera,73.24.06.2007,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
11,92971,Madani,73.24.06.2015,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
12,92971,Maramba,73.24.06.2003,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
13,92971,Pepuro Barat,73.24.06.2011,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
14,92971,Rinjani,73.24.06.2013,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
15,92971,Tabaroge,73.24.06.2016,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
16,92971,Tarengge,73.24.06.2002,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
17,92971,Tarengge Timur,73.24.06.2014,Wotu,Kabupaten,Luwu Timur,Sulawesi Selatan
18,91613,Aka-Akae,73.14.08.2007,Watang Sidenreng (Wattang Sidenreng),Kabupaten,Sidenreng Rappang,Sulawesi Selatan
19,91616,Damai,73.14.08.2005,Watang Sidenreng (Wattang Sidenreng),Kabupaten,Sidenreng Rappang,Sulawesi Selatan
20,91613,Empagae,73.14.08.1001,Watang Sidenreng (Wattang Sidenreng),Kabupaten,Sidenreng Rappang,Sulawesi Selatan
