no,postal_code,urban,area_code,sub_district,dt2,city,province
1,93560,19 Nopember,74.01.01.1001,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
2,93560,Bende,74.01.01.2007,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
3,93560,Kowioha,74.01.01.1004,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
4,93560,Lamekongga,74.01.01.1003,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
5,93560,Ngapa,74.01.01.1011,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
6,93560,Sabiona (Sabiano),74.01.01.2010,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
7,93560,Silea,74.01.01.1005,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
8,93560,Tikonu,74.01.01.2009,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
9,93560,Towua (Towua I),74.01.01.2006,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
10,93560,Unamendaa (Una Mendaa),74.01.01.2008,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
11,93560,Wundulako,74.01.01.1002,Wundulako,Kabupaten,Kolaka,Sulawesi Tenggara
12,93118,Anawai,74.71.07.1004,Wua-Wua,Kota,Kendari,Sulawesi Tenggara
13,93118,Bonggoeya,74.71.07.1002,Wua-Wua,Kota,Kendari,Sulawesi Tenggara
14,93118,Mataiwoi,74.71.07.1003,Wua-Wua,Kota,Kendari,Sulawesi Tenggara
15,93117,Wua Wua,74.71.07.1001,Wua-Wua,Kota,Kendari,Sulawesi Tenggara
16,93469,Ambuuwiu (Ambuwiu),74.02.41.2008,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
17,93469,Anggadola,74.02.41.2014,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
18,93469,Baruga,74.02.41.2006,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
19,93469,Kasukia,74.02.41.2005,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
20,93469,Lahotutu,74.02.41.2011,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
21,93469,Lambangi,74.02.41.2010,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
22,93469,Lamokuni,74.02.41.2012,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
23,93469,Linonggasai (Linonggasay),74.02.41.2009,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
24,93469,Puday,74.02.41.2002,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
25,93469,Ranotundobu,74.02.41.2013,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
26,93469,Teteona,74.02.41.2007,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
27,93469,Tobimeita,74.02.41.2004,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
28,93469,Waturay,74.02.41.2003,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
29,93469,Wonggeduku,74.02.41.2001,Wonggeduku Barat,Kabupaten,Konawe,Sulawesi Tenggara
30,93468,Anggoro,74.02.19.2028,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
31,93468,Bendewuta,74.02.19.2017,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
32,93468,Dawi-dawi,74.02.19.2016,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
33,93468,Duriaasi,74.02.19.2004,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
34,93468,Lalohao,74.02.19.2019,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
35,93468,Lalousu,74.02.19.2006,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
36,93468,Langgonawe,74.02.19.2018,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
37,93468,Polandangi,74.02.19.2027,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
38,93468,Puuduria,74.02.19.1009,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
39,93468,Tawarolondo,74.02.19.2026,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
40,93468,Tetemotaha,74.02.19.2015,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
41,93468,Tetewonua (Teteona),74.02.19.2029,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
42,93468,Wakusao (Wukusao / Tomulipu),74.02.19.2020,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
43,93468,Wawonggole,74.02.19.2012,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
44,93468,Wawoone,74.02.19.2008,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
45,93468,Wawosolo,74.02.19.2010,Wonggeduku,Kabupaten,Konawe,Sulawesi Tenggara
46,93754,Bungi,74.04.28.2006,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
47,93754,Galanti,74.04.28.2007,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
48,93754,Kaumbu,74.04.28.2001,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
49,93754,Matawia,74.04.28.2003,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
50,93754,Suka Maju (Sukamaju),74.04.28.2005,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
51,93754,Wolowa,74.04.28.2002,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
52,93754,Wolowa Baru,74.04.28.2004,Wolowa,Kabupaten,Buton,Sulawesi Tenggara
53,93553,Donggala,74.01.10.2002,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
54,93553,Iwoimopuro,74.01.10.2019,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
55,93553,Lalonaha,74.01.10.2011,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
56,93553,Lalonggopi,74.01.10.2015,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
57,93553,Lana,74.01.10.2012,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
58,93553,Langgomali,74.01.10.2010,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
59,93553,Lapao-Pao,74.01.10.2009,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
60,93553,Muara Lapao Pao,74.01.10.2016,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
61,93553,Samaenre,74.01.10.2018,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
62,93553,Tolowe Ponrewaru,74.01.10.2008,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
63,93553,Ulu Rina,74.01.10.2021,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
64,93553,Ulu Wolo,74.01.10.1007,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
65,93553,Ululapao-pao (Ulu Lapao-Pao),74.01.10.2003,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
66,93553,Wolo,74.01.10.1001,Wolo,Kabupaten,Kolaka,Sulawesi Tenggara
67,93714,Bataraguru,74.72.02.1003,Wolio,Kota,Bau Bau,Sulawesi Tenggara
68,93717,Batulo,74.72.02.1005,Wolio,Kota,Bau Bau,Sulawesi Tenggara
69,93711,Bukit Wolio Indah,74.72.02.1011,Wolio,Kota,Bau Bau,Sulawesi Tenggara
70,93715,Kadolo Katapi,74.72.02.1007,Wolio,Kota,Bau Bau,Sulawesi Tenggara
71,93712,Tomba,74.72.02.1002,Wolio,Kota,Bau Bau,Sulawesi Tenggara
72,93711,Wale,74.72.02.1001,Wolio,Kota,Bau Bau,Sulawesi Tenggara
73,93713,Wangkanapi,74.72.02.1004,Wolio,Kota,Bau Bau,Sulawesi Tenggara
74,93878,Amoito Jaya,74.05.18.2003,Wolasi,Kabupaten,Konawe Selatan,Sulawesi Tenggara
75,93878,Aoma,74.05.18.2002,Wolasi,Kabupaten,Konawe Selatan,Sulawesi Tenggara
76,93878,Aunupe,74.05.18.2007,Wolasi,Kabupaten,Konawe Selatan,Sulawesi Tenggara
77,93878,Leleka,74.05.18.2004,Wolasi,Kabupaten,Konawe Selatan,Sulawesi Tenggara
78,93878,Mata Wolasi,74.05.18.2005,Wolasi,Kabupaten,Konawe Selatan,Sulawesi Tenggara
