no,postal_code,urban,area_code,sub_district,dt2,city,province
1,32275,Bedeng Tiga,16.09.13.2013,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
2,32275,Bumi Agung,16.09.13.2011,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
3,32275,Gedung Ranau,16.09.13.2014,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
4,32275,Gunung Aji,16.09.13.2005,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
5,32275,Gunung Raya,16.09.13.2007,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
6,32275,Kiwis Raya,16.09.13.2009,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
7,32275,Kota Batu,16.09.13.2002,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
8,32275,Mekar Sari (Mekarsari),16.09.13.2012,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
9,32275,Pagar Dewa,16.09.13.2003,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
10,32275,Pilla,16.09.13.2006,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
11,32275,Remanam Jaya,16.09.13.2008,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
12,32275,Segigok Raya,16.09.13.2010,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
13,32275,Sukajaya,16.09.13.2001,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
14,32275,Tanjung Baru,16.09.13.2015,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
15,32275,Tanjung Jati,16.09.13.2004,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
16,32275,Way Wangi Seminung,16.09.13.2016,Warkuk Ranau Selatan,Kabupaten,Ogan Komering Ulu Selatan,Sumatera Selatan
17,31669,Jangkat,16.13.07.2001,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
18,31669,Kuto Tanjung,16.13.07.2004,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
19,31669,Muara Kuis,16.13.07.2005,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
20,31669,Muara Kulam,16.13.07.1007,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
21,31669,Napal Licin (Napalicin),16.13.07.2002,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
22,31669,Pulau Kidak,16.13.07.2006,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
23,31669,Sosokan,16.13.07.2003,Ulu Rawas,Kabupaten,Musi Rawas Utara,Sumatera Selatan
24,32157,Belandang,16.01.20.2007,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
25,32157,Gunung Tiga,16.01.20.2002,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
26,32157,Kelumpang,16.01.20.2001,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
27,32157,Mendingin,16.01.20.2003,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
28,32157,Pedataran,16.01.20.2005,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
29,32157,Sukajadi,16.01.20.2006,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
30,32157,Ulak Lebar,16.01.20.2004,Ulu Ogan,Kabupaten,Ogan Komering Ulu,Sumatera Selatan
31,31597,Air Kelincar (Air Kelinsar),16.11.03.2001,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
32,31597,Batu Bidung,16.11.03.2012,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
33,31597,Batu Lintang,16.11.03.2006,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
34,31597,Galang,16.11.03.2025,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
35,31597,Kunduran,16.11.03.2003,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
36,31597,Lb. Puding Baru (Lubuk Puding Baru),16.11.03.2009,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
37,31597,Lb. Puding Lama (Lubuk Puding Lama),16.11.03.2011,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
38,31597,Muara Betung,16.11.03.2008,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
39,31597,Muara Kalangan,16.11.03.2005,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
40,31597,Padang Tepong,16.11.03.2007,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
41,31597,Pulau Kemang,16.11.03.2010,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
42,31597,Simpang Perigi,16.11.03.2004,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
43,31597,Talang Bengkulu (Teluk Bengkulu),16.11.03.2002,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
44,31597,Tanjung Agung,16.11.03.2024,Ulu Musi,Kabupaten,Empat Lawang,Sumatera Selatan
45,31351,Guci,16.03.11.2007,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
46,31351,Muara Gula Baru,16.03.11.2005,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
47,31351,Muara Gula Lama,16.03.11.2006,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
48,31351,Pinang Belarik,16.03.11.2001,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
49,31351,Tanjung Raman,16.03.11.2004,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
50,31351,Ujan Mas Baru,16.03.11.2003,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
51,31351,Ujan Mas Lama,16.03.11.2002,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
52,31351,Ulak Bandung,16.03.11.2008,Ujan Mas,Kabupaten,Muara Enim,Sumatera Selatan
53,30756,Banjar Jaya,16.06.12.2009,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
54,30756,Beji Mulyo,16.06.12.2010,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
55,30756,Berlian Jaya,16.06.12.2003,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
56,30756,Bero Jaya Timur (Berojaya Timur),16.06.12.2011,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
57,30756,Margo Mulyo,16.06.12.2013,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
58,30756,Pandan Sari,16.06.12.2012,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
59,30756,Pangkalan Tungkal,16.06.12.2005,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
60,30756,Peninggalan,16.06.12.2001,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
61,30756,Sido Mulyo,16.06.12.2015,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
62,30756,Simpang Tungkal,16.06.12.2004,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
63,30756,Sinar Harapan,16.06.12.2008,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
64,30756,Sinar Tungkal,16.06.12.2016,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
65,30756,Sri Mulyo (Srimulyo),16.06.12.2014,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
66,30756,Suka Damai,16.06.12.2002,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
67,30756,Sumber Harum,16.06.12.2006,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
68,30756,Sumber Sari,16.06.12.2007,Tungkal Jaya,Kabupaten,Musi Banyuasin,Sumatera Selatan
69,30956,Bentayan,16.07.15.2001,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
70,30956,Bumi Serdang,16.07.15.2011,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
71,30956,Karang Anyar,16.07.15.2006,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
72,30956,Karang Asem,16.07.15.2007,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
73,30956,Karang Mulya,16.07.15.2012,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
74,30956,Keluang,16.07.15.2010,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
75,30956,Marga Rahayu,16.07.15.2008,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
76,30956,Panca Mulya (Pancamulya),16.07.15.2014,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
77,30956,Sido Mulyo (Sidomulyo),16.07.15.2009,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
78,30956,Suka Jaya (Sukajaya),16.07.15.2015,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
79,30956,Suka Mulya (Sukamulya),16.07.15.2004,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
80,30956,Suka Raja,16.07.15.2005,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
81,30956,Sukakarya (Suka Karya),16.07.15.2013,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
82,30956,Teluktenggulang (Teluk Tenggulang),16.07.15.2002,Tungkal Ilir,Kabupaten,Banyuasin,Sumatera Selatan
83,30655,Cambai,16.02.11.2006,Tulung Selapan,Kabupaten,Ogan Komering Ilir,Sumatera Selatan
84,30655,Jerambah Rengas,16.02.11.2014,Tulung Selapan,Kabupaten,Ogan Komering Ilir,Sumatera Selatan
85,30655,Kayuara (Kayu Ara),16.02.11.2007,Tulung Selapan,Kabupaten,Ogan Komering Ilir,Sumatera Selatan
86,30655,Kuala Dua Belas,16.02.11.2021,Tulung Selapan,Kabupaten,Ogan Komering Ilir,Sumatera Selatan
87,30655,Lebung Gajah,16.02.11.2011,Tulung Selapan,Kabupaten,Ogan Komering Ilir,Sumatera Selatan
