no,postal_code,urban,area_code,sub_district,dt2,city,province
1,20851,Besilam Bukit Lembasa,12.05.08.2004,Wampu,Kabupaten,Langkat,Sumatera Utara
2,20851,Bingai,12.05.08.1001,Wampu,Kabupaten,Langkat,Sumatera Utara
3,20851,Bukit Melintang,12.05.08.2006,Wampu,Kabupaten,Langkat,Sumatera Utara
4,20851,Gergas,12.05.08.2007,Wampu,Kabupaten,Langkat,Sumatera Utara
5,20851,Gohor Lama,12.05.08.2002,Wampu,Kabupaten,Langkat,Sumatera Utara
6,20851,Jentera Stabat,12.05.08.2013,Wampu,Kabupaten,Langkat,Sumatera Utara
7,20851,Kebun Balok,12.05.08.2005,Wampu,Kabupaten,Langkat,Sumatera Utara
8,20851,Mekar Jaya,12.05.08.2012,Wampu,Kabupaten,Langkat,Sumatera Utara
9,20851,Paya Tusam,12.05.08.2011,Wampu,Kabupaten,Langkat,Sumatera Utara
10,20851,Pertumbukan,12.05.08.2010,Wampu,Kabupaten,Langkat,Sumatera Utara
11,20851,Stabat Lama,12.05.08.2003,Wampu,Kabupaten,Langkat,Sumatera Utara
12,20851,Stabat Lama Barat,12.05.08.2008,Wampu,Kabupaten,Langkat,Sumatera Utara
13,20851,Stungkit,12.05.08.2014,Wampu,Kabupaten,Langkat,Sumatera Utara
14,20851,Sumber Mulyo,12.05.08.2009,Wampu,Kabupaten,Langkat,Sumatera Utara
15,22873,Ambukha,12.14.14.2006,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
16,22873,Balohili Mola,12.14.14.2005,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
17,22873,Foikhugaga,12.14.14.2009,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
18,22873,Hilibadalu,12.14.14.2008,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
19,22873,Hiliuso,12.14.14.2004,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
20,22873,Lawindra,12.14.14.2001,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
21,22873,Orahili Mola,12.14.14.2011,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
22,22873,Orlin,12.14.14.2010,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
23,22873,Sifaoro'asi Mola (Sifaoroasi Mola),12.14.14.2003,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
24,22873,Tobualo,12.14.14.2007,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
25,22873,Umbunasi,12.14.14.2012,Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara
26,22866,Amandraya (Amandraya Ulususua),12.14.24.2009,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
27,22866,Foikhu Fondrako,12.14.24.2010,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
28,22866,Fondrakoraya,12.14.24.2001,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
29,22866,Hilinifaoso,12.14.24.2007,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
30,22866,Hiliwosi,12.14.24.2011,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
31,22866,Lahusa Susua,12.14.24.2005,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
32,22866,Orahili Fondrako,12.14.24.2012,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
33,22866,Orudua Sibohou (Orudu Sibohou),12.14.24.2002,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
34,22866,Ramba-Ramba,12.14.24.2006,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
35,22866,Sifaoroasi,12.14.24.2008,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
36,22866,Sisarahili Susua,12.14.24.2003,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
37,22866,Susua,12.14.24.2004,Ulususua,Kabupaten,Nias Selatan,Sumatera Utara
38,22867,Ambukha I (Ambukha Satu),12.14.19.2012,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
39,22867,Amorosa,12.14.19.2004,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
40,22867,Bawo Lolomatua,12.14.19.2011,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
41,22867,Borowosi,12.14.19.2006,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
42,22867,Hilifakhe,12.14.19.2010,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
43,22867,Hilimaera,12.14.19.2007,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
44,22867,Hiliwaebu,12.14.19.2003,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
45,22867,Loloana'a,12.14.19.2009,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
46,22867,Marao,12.14.19.2005,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
47,22867,Orahili Ulunoyo,12.14.19.2002,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
48,22867,Puncak Lolomatua,12.14.19.2013,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
49,22867,Sambulu,12.14.19.2001,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
50,22867,Suka Maju,12.14.19.2008,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara
51,22861,Fahandrona,12.04.27.2007,Ulugawo,Kabupaten,Nias,Sumatera Utara
52,22861,Fatodano,12.04.27.2006,Ulugawo,Kabupaten,Nias,Sumatera Utara
53,22861,Hilibadalu,12.04.27.2005,Ulugawo,Kabupaten,Nias,Sumatera Utara
54,22861,Hiligafoa,12.04.27.2013,Ulugawo,Kabupaten,Nias,Sumatera Utara
55,22861,Hilimbowo,12.04.27.2004,Ulugawo,Kabupaten,Nias,Sumatera Utara
